filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719860543386,PuReST,49,-1,-1,44,49,0.897959,162.308,172.105,132.977,146.19,0.971429,0.971429
00001.jpg,1719860543419,PuReST,49,-1,-1,44,49,0.897959,162.272,172.422,134.535,146.19,0.942857,0.942857
00002.jpg,1719860543452,PuReST,50,-1,-1,44,50,0.88,162.327,172.488,133.157,147.805,0.971429,0.971429
00003.jpg,1719860543485,PuReST,50,-1,-1,43,50,0.86,162.309,172.368,130.582,146.291,0.944444,0.944444
00004.jpg,1719860543518,PuReST,49,-1,-1,44,49,0.897959,162.332,172.495,132.254,146.19,0.942857,0.942857
00005.jpg,1719860543551,PuReST,50,-1,-1,43,50,0.86,162.065,172.096,129.166,146.291,0.944444,0.944444
00006.jpg,1719860543584,PuReST,50,-1,-1,43,50,0.86,162.32,172.024,131.657,146.291,0.972222,0.972222
00007.jpg,1719860543617,PuReST,50,-1,-1,44,50,0.88,161.658,172.442,132.954,147.805,0.942857,0.942857
00008.jpg,1719860543650,PuReST,49,-1,-1,42,49,0.857143,162.585,171.786,142.003,143.154,0.942857,0.942857
00009.jpg,1719860543683,PuReST,48,-1,-1,43,48,0.895833,161.965,171.097,134.336,143.05,0.941176,0.941176
00010.jpg,1719860543716,PuReST,48,-1,-1,43,48,0.895833,161.877,171.004,131.536,143.05,0.944444,0.944444
00011.jpg,1719860543749,PuReST,50,-1,-1,41,50,0.82,162.897,172.983,140.726,143.292,0.916667,0.916667
00012.jpg,1719860543782,PuReST,61,-1,-1,41,61,0.672131,164.757,174.493,134.887,161.765,0.805556,0.805556
00013.jpg,1719860543815,PuReST,59,-1,-1,38,59,0.644068,166.17,176.024,144.77,154.158,0.805556,0.805556
00014.jpg,1719860543848,PuReST,48,-1,-1,45,48,0.9375,159.045,175.283,27.812,146.122,0.942857,0.942857
00015.jpg,1719860543881,PuReST,42,-1,-1,39,42,0.928571,161.329,171.254,117.478,127.278,0.942857,0.942857
00016.jpg,1719860543914,PuReST,41,-1,-1,38,41,0.926829,162.014,170.939,122.45,124.138,0.941176,0.941176
00017.jpg,1719860543947,PuReST,40,-1,-1,38,40,0.95,161.472,171.307,99.5673,122.542,0.969697,0.969697
00018.jpg,1719860543980,PuReST,40,-1,-1,36,40,0.9,161.386,172.083,115.477,119.463,0.972222,0.972222
00019.jpg,1719860544013,PuReST,38,-1,-1,30,38,0.789474,163.575,170.226,125.723,107.184,0.970588,0.970588
00020.jpg,1719860544046,PuReST,39,-1,-1,35,39,0.897436,161.59,172.263,119.596,116.324,0.971429,0.971429
00021.jpg,1719860544079,PuReST,38,-1,-1,29,38,0.763158,162.754,169.792,120.283,105.719,1,1
00022.jpg,1719860544112,PuReST,37,-1,-1,30,37,0.810811,162.91,170.084,125.868,105.531,1,1
00023.jpg,1719860544145,PuReST,37,-1,-1,29,37,0.783784,163.173,169.592,128.478,104.054,1,1
00024.jpg,1719860544178,PuReST,36,-1,-1,32,36,0.888889,161.464,173.662,108.215,106.907,1,1
00025.jpg,1719860544211,PuReST,37,-1,-1,33,37,0.891892,161.756,173.701,108.171,110.046,1,1
00026.jpg,1719860544244,PuReST,35,-1,-1,32,35,0.914286,161.281,175.582,115.014,105.296,1,1
00027.jpg,1719860544277,PuReST,36,-1,-1,32,36,0.888889,161.068,176.034,119.342,106.907,1,1
00028.jpg,1719860544310,PuReST,36,-1,-1,32,36,0.888889,161.055,175.863,117.195,106.907,1,1
00029.jpg,1719860544343,PuReST,35,-1,-1,33,35,0.942857,161.331,176.195,114.91,106.837,1,1
00030.jpg,1719860544376,PuReST,35,-1,-1,32,35,0.914286,161.025,176.417,138.466,105.296,1,1
00031.jpg,1719860544409,PuReST,35,-1,-1,33,35,0.942857,161.255,176.858,157.899,106.837,1,1
00032.jpg,1719860544442,PuReST,36,-1,-1,28,36,0.777778,160.925,173.771,110.664,100.924,1,1
00033.jpg,1719860544475,PuReST,33,-1,-1,25,33,0.757576,162.749,173.28,117.936,91.54,0.882353,0.882353
00034.jpg,1719860544508,PuReST,33,-1,-1,24,33,0.727273,163.202,173.636,119.142,90.0943,0.771429,0.771429
00035.jpg,1719860544541,PuReST,36,-1,-1,29,36,0.805556,160.557,175.404,96.7773,102.398,1,1
00036.jpg,1719860544574,PuReST,35,-1,-1,27,35,0.771429,161.795,174.666,103.576,97.7952,1,1
00037.jpg,1719860544607,PuReST,34,-1,-1,32,34,0.941176,159.332,178.782,100.092,103.696,0.96875,0.96875
00038.jpg,1719860544640,PuReST,36,-1,-1,29,36,0.805556,158.35,177.995,83.6969,102.398,1,1
00039.jpg,1719860544673,PuReST,33,-1,-1,33,33,1,154.554,183.823,175.164,103.673,0.944444,0.944444
00040.jpg,1719860544706,PuReST,34,-1,-1,31,34,0.911765,154.26,184.02,173.635,102.156,0.942857,0.942857
00041.jpg,1719860544739,PuReST,34,-1,-1,30,34,0.882353,154.461,183.198,177.384,100.629,0.942857,0.942857
00042.jpg,1719860544772,PuReST,36,-1,-1,31,36,0.861111,154.455,182.277,179.502,105.39,0.941176,0.941176
00043.jpg,1719860544805,PuReST,34,-1,-1,32,34,0.941176,155.18,182.435,177.841,103.696,0.942857,0.942857
00044.jpg,1719860544838,PuReST,34,-1,-1,31,34,0.911765,154.972,182.369,2.39208,102.156,0.942857,0.942857
00045.jpg,1719860544871,PuReST,36,-1,-1,32,36,0.888889,154.699,181.897,86.5647,106.907,0.944444,0.944444
00046.jpg,1719860544904,PuReST,33,-1,-1,31,33,0.939394,155.025,181.342,6.59987,100.556,0.944444,0.944444
00047.jpg,1719860544937,PuReST,34,-1,-1,32,34,0.941176,154.844,181.54,1.12892,103.696,0.939394,0.939394
00048.jpg,1719860544970,PuReST,34,-1,-1,32,34,0.941176,154.942,181.875,85.5002,103.696,0.972222,0.972222
00049.jpg,1719860545003,PuReST,33,-1,-1,32,33,0.969697,154.783,180.497,35.7235,102.108,0.944444,0.944444
00050.jpg,1719860545036,PuReST,31,-1,-1,27,31,0.870968,153.475,181.439,132.472,91.2145,0.942857,0.942857
