Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,40,143.533,130.838,PuReST,0.942857
1,1,40,143.322,131.034,PuReST,0.944444
2,1,41,143.253,130.939,PuReST,0.944444
3,1,41,142.98,131.251,PuReST,0.939394
4,1,41,142.729,130.422,PuReST,0.944444
5,1,40,142.521,130.867,PuReST,0.941176
6,1,42,141.763,131.372,PuReST,0.96875
7,1,42,140.56,131.29,PuReST,0.944444
8,1,42,140.665,131.159,PuReST,0.941176
9,1,40,140.796,130.416,PuReST,0.916667
10,1,40,140.559,130.35,PuReST,0.942857
11,1,35,142.237,130.78,PuReST,0.90625
12,1,34,142.353,130.972,PuReST,0.885714
13,1,38,139.131,129.811,PuReST,0.771429
14,1,39,138.73,130.086,PuReST,0.771429
15,1,29,143.439,131.026,PuReST,0.848485
16,1,31,141.466,130.391,PuReST,0.852941
17,1,29,143.196,130.677,PuReST,0.882353
18,1,30,142.045,130.812,PuReST,0.882353
19,1,28,142.733,130.528,PuReST,0.911765
20,1,29,141.435,130.599,PuReST,0.885714
21,1,29,140.722,130.885,PuReST,0.852941
22,1,29,141.023,131.587,PuReST,0.941176
23,1,27,141.275,132.007,PuReST,0.941176
24,1,27,140.687,132.085,PuReST,0.939394
25,1,27,140.074,132.026,PuReST,0.885714
26,1,26,141.601,132.727,PuReST,0.970588
27,1,26,141.398,132.764,PuReST,0.941176
28,1,26,140.618,133.265,PuReST,0.971429
29,1,26,140.618,133.265,PuReST,0.971429
30,1,26,140.78,133.372,PuReST,0.969697
31,1,26,140.422,133.819,PuReST,0.969697
32,1,28,137.743,133.57,PuReST,0.848485
33,1,27,137.364,134.141,PuReST,0.885714
34,1,26,138.939,134.545,PuReST,0.9375
35,1,26,139.022,134.408,PuReST,0.818182
36,1,24,140.288,136.113,PuReST,0.875
37,1,25,137.794,135.863,PuReST,0.878788
38,1,28,136.543,136.1,PuReST,0.914286
39,1,25,137.55,136.31,PuReST,0.878788
40,1,25,137.021,136.588,PuReST,0.941176
41,1,24,137.856,137.124,PuReST,0.909091
42,1,24,138.008,136.981,PuReST,0.878788
43,1,23,137.177,136.864,PuReST,0.939394
44,1,24,136.528,136.407,PuReST,0.96875
45,1,24,137.474,136.969,PuReST,0.882353
46,1,23,137.574,136.907,PuReST,0.878788
47,1,24,136.962,136.422,PuReST,0.9375
48,1,25,136.142,136.205,PuReST,0.969697
49,1,92,134.661,130.199,PuReST,0.71875
50,1,21,138.532,136.373,PuReST,0.774194
51,1,26,135.591,136.311,PuReST,1
52,1,23,138.575,136.589,PuReST,0.857143
53,1,25,136.071,136.42,PuReST,1
54,1,26,134.949,135.966,PuReST,0.90625
55,1,23,137.994,136.434,PuReST,0.909091
56,1,24,138.356,136.874,PuReST,0.878788
57,1,28,135.673,137.151,PuReST,1
58,1,24,138.757,136.618,PuReST,0.875
59,1,24,138.162,136.829,PuReST,0.939394
60,1,24,138.446,136.698,PuReST,0.939394
61,1,24,138.446,136.698,PuReST,0.969697
62,1,25,137.072,135.835,PuReST,1
63,1,24,138.624,136.283,PuReST,0.9375
64,1,24,139.078,135.953,PuReST,0.909091
65,1,24,139.078,135.953,PuReST,0.909091
66,1,24,139.315,135.799,PuReST,0.885714
67,1,26,136.622,135.522,PuReST,1
68,1,26,137.225,135.537,PuReST,1
69,1,24,138.824,135.285,PuReST,1
70,1,25,138.167,135.473,PuReST,1
71,1,25,138.913,135.529,PuReST,0.970588
72,1,25,140.142,135.582,PuReST,0.90625
73,1,25,139.975,135.499,PuReST,0.914286
74,1,25,139.491,135.601,PuReST,0.970588
75,1,25,140.101,135.596,PuReST,0.942857
76,1,25,140.506,135.639,PuReST,0.939394
77,1,25,139.981,135.337,PuReST,1
78,1,25,139.784,135.135,PuReST,0.970588
79,1,25,140.166,135.123,PuReST,0.969697
80,1,26,140.646,135.08,PuReST,1
81,1,27,139.68,134.937,PuReST,0.970588
82,1,25,142.238,135.193,PuReST,0.909091
83,1,26,141.143,135.133,PuReST,1
84,1,25,140.866,133.974,PuReST,0.911765
85,1,26,141.163,134.114,PuReST,0.969697
86,1,28,139.412,133.987,PuReST,0.911765
87,1,27,141.43,134.918,PuReST,1
88,1,26,141.98,134.478,PuReST,1
89,1,26,142.163,134.56,PuReST,0.970588
90,1,26,143.391,134.29,PuReST,0.969697
91,1,27,142.262,134.044,PuReST,0.914286
92,1,28,143.536,134.065,PuReST,0.970588
93,1,27,144.197,134.388,PuReST,1
94,1,28,144.387,134.413,PuReST,1
95,1,28,144.352,134.482,PuReST,1
96,1,28,145.151,134.85,PuReST,1
97,1,28,145.524,134.446,PuReST,1
98,1,29,146.788,135.902,PuReST,0.941176
99,1,29,146.772,137.078,PuReST,0.916667
100,1,28,146.437,136.846,PuReST,0.916667
101,1,30,145.932,138.459,PuReST,1
102,1,30,146.036,140.569,PuReST,0.942857
103,1,31,146.559,142.775,PuReST,0.911765
104,1,30,147.626,143.096,PuReST,1
105,1,31,146.997,144.681,PuReST,1
106,1,31,146.528,145.662,PuReST,0.971429
107,1,31,146.308,145.496,PuReST,0.909091
108,1,32,142.524,146.255,PuReST,0.882353
109,1,33,140.437,150.562,PuReST,0.818182
110,1,32,142.436,150.627,PuReST,0.885714
111,1,31,142.765,150.772,PuReST,0.911765
112,1,31,145.198,149.348,PuReST,1
113,1,32,145.952,150.781,PuReST,1
114,1,31,146.592,153.563,PuReST,0.970588
115,1,31,146.623,153.66,PuReST,0.941176
116,1,31,146.623,153.66,PuReST,0.941176
117,1,31,148.774,155.715,PuReST,0.970588
118,1,31,147.536,154.668,PuReST,0.911765
119,1,31,148.676,155.581,PuReST,1
120,1,32,148.559,156.02,PuReST,0.969697
121,1,32,149.745,156.816,PuReST,1
122,1,32,148.525,155.796,PuReST,0.969697
123,1,33,148.623,154.765,PuReST,0.861111
124,1,32,149.14,154.816,PuReST,0.969697
125,1,33,150.55,154.34,PuReST,1
126,1,32,152.983,152.044,PuReST,1
127,1,32,155.428,149.382,PuReST,0.971429
128,1,31,156.94,150.369,PuReST,0.972222
129,1,30,156.579,146.128,PuReST,1
130,1,32,153.261,150.351,PuReST,1
131,1,32,153.657,149.925,PuReST,1
132,1,32,150.598,153.42,PuReST,1
133,1,32,150.967,152.91,PuReST,1
134,1,32,149.786,150.808,PuReST,1
135,1,32,150.614,150.9,PuReST,1
136,1,35,148.065,148.057,PuReST,0.787879
137,1,33,148.331,150.107,PuReST,1
138,1,31,148.574,149.016,PuReST,1
139,1,32,150.474,150.639,PuReST,1
140,1,32,150.668,149.294,PuReST,1
141,1,32,150.694,148.289,PuReST,1
142,1,34,151.433,147.914,PuReST,1
143,1,30,153.072,150.188,PuReST,0.8
144,1,36,150.041,145.912,PuReST,0.676471
145,1,32,151.11,148.293,PuReST,1
146,1,31,151.886,149.241,PuReST,1
147,1,32,150.671,147.66,PuReST,1
148,1,31,151.559,148.081,PuReST,1
149,1,32,150.508,147.202,PuReST,1
150,1,32,151.624,147.759,PuReST,1
151,1,31,151.737,148.475,PuReST,1
152,1,31,151.486,148.588,PuReST,1
153,1,31,152.453,149.831,PuReST,0.878788
154,1,30,152.802,150.937,PuReST,0.764706
