Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,92,234.499,184.085,PuReST,0.971429
1,1,96,233.792,188.617,PuReST,0.90625
2,1,40,231.236,188.305,PuReST,0.8
3,1,42,234.007,182.24,PuReST,0.882353
4,1,47,237.27,181.311,PuReST,0.885714
5,1,45,236.114,182.387,PuReST,0.861111
6,1,48,237.092,180.985,PuReST,0.882353
7,1,44,235.104,182.153,PuReST,0.882353
8,1,48,238.466,183.478,PuReST,0.939394
9,1,43,237.14,182.021,PuReST,0.857143
10,1,45,239.336,181.412,PuReST,0.857143
11,1,39,236.29,183.423,PuReST,0.885714
12,1,43,238.743,182.26,PuReST,0.848485
13,1,37,236.316,182.135,PuReST,0.941176
14,1,36,235.144,181.83,PuReST,1
15,1,33,233.945,182.35,PuReST,1
16,1,30,230.969,185.339,PuReST,0.71875
17,1,33,235.728,182.629,PuReST,0.969697
18,1,34,236.385,182.63,PuReST,0.909091
19,1,33,235.651,183.38,PuReST,0.969697
20,1,29,232.786,185.823,PuReST,0.705882
21,1,29,234.14,182.843,PuReST,1
22,1,30,235.23,182.281,PuReST,1
23,1,30,235.307,182.651,PuReST,1
24,1,30,235.166,182.593,PuReST,1
25,1,30,234.766,182.492,PuReST,1
26,1,29,234.302,182.786,PuReST,1
27,1,28,237.354,180.387,PuReST,1
28,1,29,238.445,179.894,PuReST,1
29,1,27,243.463,169.775,PuReST,0.909091
30,1,27,246.886,162.584,PuReST,1
31,1,28,247.532,162.732,PuReST,1
32,1,28,247.626,162.9,PuReST,0.969697
33,1,28,248.648,162.735,PuReST,1
34,1,28,249.425,164.515,PuReST,0.969697
35,1,28,249.88,164.489,PuReST,1
36,1,27,250.15,165.094,PuReST,0.939394
37,1,27,249.767,164.76,PuReST,0.939394
38,1,27,249.798,164.757,PuReST,0.939394
39,1,27,249.659,164.96,PuReST,0.911765
40,1,27,249.659,164.96,PuReST,0.911765
41,1,27,248.375,166.221,PuReST,0.852941
42,1,26,220.895,171.933,PuReST,1
43,1,24,221.633,172.681,PuReST,1
44,1,25,205.74,180.029,PuReST,0.69697
45,1,24,199.31,184.145,PuReST,1
46,1,26,198.001,184.29,PuReST,0.882353
47,1,24,198.489,184.46,PuReST,0.878788
48,1,24,198.347,185.216,PuReST,0.971429
49,1,23,198.877,185.901,PuReST,1
50,1,26,197.232,186.155,PuReST,0.939394
51,1,25,197.698,186.257,PuReST,1
52,1,25,197.796,186.217,PuReST,0.969697
53,1,25,210.541,188.036,PuReST,0.787879
54,1,26,211.266,188.254,PuReST,1
55,1,84,254.005,186.584,PuReST,0.805556
56,1,62,218.859,113.859,PuReST,0.545455
57,1,60,153.128,250.498,PuReST,0
58,1,25,136.212,240.042,PuReST,0.117647
59,1,120,157.619,127.826,PuReST,0.333333
60,1,118,143.022,131.105,PuReST,0.277778
61,1,118,143.646,133.403,PuReST,0.228571
62,1,87,334.221,171.026,PuReST,0.117647
63,1,95,158.622,123.798,PuReST,0.194444
64,1,127,127.186,172.187,PuReST,0.323529
65,1,44,177.908,250.836,PuReST,0
66,1,23,277.301,203.022,PuReST,0.0588235
67,1,46,261.04,210.875,PuReST,0.5
68,1,28,279.445,205.662,PuReST,0.0294118
69,1,27,255.557,240.75,PuReST,0
70,1,40,274.926,210.466,PuReST,0.0571429
71,1,38,270.462,208.626,PuReST,0.0857143
72,1,26,246.574,205.275,PuReST,0.914286
73,1,26,245.299,205.385,PuReST,0.941176
74,1,40,252.206,207.628,PuReST,0.606061
75,1,25,243.311,203.138,PuReST,0.818182
76,1,32,247.262,205.168,PuReST,0.852941
77,1,27,244.475,201.623,PuReST,0.882353
78,1,28,245.255,201.244,PuReST,0.882353
79,1,33,246.398,202.855,PuReST,0.909091
80,1,34,245.712,200.59,PuReST,0.885714
81,1,33,245.874,200.666,PuReST,0.888889
82,1,34,245.411,199.188,PuReST,0.911765
83,1,35,244.418,196.854,PuReST,0.882353
84,1,96,275.578,201.685,PuReST,0.583333
85,1,35,244.515,193.278,PuReST,0.857143
86,1,32,242.86,191.669,PuReST,0.911765
87,1,34,244.313,191.954,PuReST,0.885714
88,1,34,242.533,194.485,PuReST,0.848485
89,1,34,217.205,128.56,PuReST,0.914286
90,1,24,218.143,134.688,PuReST,0.818182
91,1,35,217.176,127.247,PuReST,0.941176
92,1,60,256.603,191.85,PuReST,0.514286
93,1,38,245.089,190.117,PuReST,0.882353
94,1,43,248.078,190.683,PuReST,0.676471
95,1,35,243.9,188.997,PuReST,0.861111
96,1,32,243.085,188.268,PuReST,0.911765
97,1,38,245.135,189.993,PuReST,0.848485
98,1,34,243.326,188.858,PuReST,0.885714
99,1,32,242.499,188.337,PuReST,0.882353
100,1,36,244.537,189.469,PuReST,0.939394
101,1,40,243.894,191.493,PuReST,0.78125
102,1,38,245.483,189.503,PuReST,0.875
103,1,37,244.432,190.608,PuReST,0.882353
104,1,40,245.923,190.25,PuReST,0.833333
105,1,34,242.703,189.63,PuReST,0.914286
106,1,32,241.334,188.884,PuReST,1
107,1,31,241.009,188.485,PuReST,1
108,1,33,243.031,188.93,PuReST,0.882353
109,1,34,242.909,189.098,PuReST,0.911765
110,1,36,243.189,190.258,PuReST,0.911765
111,1,38,246.044,187.354,PuReST,0.805556
112,1,52,251.826,190.965,PuReST,0.666667
113,1,39,245.318,189.692,PuReST,0.882353
114,1,38,244.736,188.95,PuReST,0.944444
115,1,36,243.017,188.878,PuReST,0.909091
116,1,33,242.931,187.8,PuReST,0.911765
117,1,44,247.09,190.18,PuReST,0.794118
118,1,36,242.767,188.878,PuReST,0.909091
119,1,46,247.253,189.77,PuReST,0.757576
120,1,39,244.684,188.464,PuReST,0.971429
121,1,35,242.413,188.21,PuReST,0.942857
122,1,38,243.672,188.785,PuReST,0.878788
123,1,39,244.805,185.993,PuReST,0.794118
124,1,36,242.234,188.93,PuReST,0.942857
125,1,41,246.028,188.147,PuReST,0.882353
126,1,33,241.36,187.363,PuReST,0.888889
127,1,44,246.329,189.372,PuReST,0.857143
128,1,35,241.895,188.158,PuReST,0.914286
129,1,39,244.89,186.055,PuReST,0.828571
130,1,37,243.027,188.645,PuReST,0.941176
131,1,37,243.676,188.59,PuReST,0.9375
132,1,37,243.612,188.741,PuReST,0.941176
133,1,40,245.456,186.402,PuReST,0.857143
134,1,36,243.313,187.976,PuReST,0.882353
135,1,37,243.52,188.439,PuReST,0.885714
136,1,51,251.607,189.437,PuReST,0.676471
137,1,40,246.943,188.211,PuReST,0.916667
138,1,34,241.898,188.058,PuReST,0.942857
139,1,38,246.763,187.923,PuReST,0.941176
140,1,11,220.928,228.421,PuReST,0
141,1,40,246.804,189.246,PuReST,0.914286
142,1,36,244.691,189.107,PuReST,0.90625
143,1,42,247.327,190.839,PuReST,0.794118
144,1,35,244.473,190.2,PuReST,0.885714
145,1,35,243.938,191.783,PuReST,0.885714
146,1,33,242.696,189.48,PuReST,0.911765
147,1,49,250.718,191.628,PuReST,0.714286
148,1,45,249.155,190.982,PuReST,0.764706
149,1,45,249.155,190.982,PuReST,0.764706
150,1,39,245.919,189.783,PuReST,0.969697
151,1,41,246.518,190.941,PuReST,0.885714
152,1,36,243.964,190.662,PuReST,0.914286
153,1,35,243.887,190.639,PuReST,0.911765
154,1,38,244.262,191.959,PuReST,0.882353
155,1,38,244.351,191.989,PuReST,0.911765
156,1,40,246.67,191.858,PuReST,0.941176
157,1,38,243.161,193.102,PuReST,0.857143
158,1,38,242.982,193.085,PuReST,0.914286
159,1,52,251.98,194.642,PuReST,0.666667
160,1,37,244.634,193.021,PuReST,0.914286
161,1,35,243.028,192.198,PuReST,0.861111
162,1,44,247.151,196.354,PuReST,0.714286
163,1,40,244.608,193.556,PuReST,0.914286
164,1,49,250.56,192.91,PuReST,0.722222
165,1,41,247.094,191.394,PuReST,0.941176
166,1,39,244.86,191.999,PuReST,0.942857
167,1,39,245.361,191.366,PuReST,0.970588
168,1,40,243.908,191.119,PuReST,0.911765
169,1,39,244.308,190.529,PuReST,0.942857
170,1,42,245.72,190.569,PuReST,0.941176
171,1,39,243.538,189.74,PuReST,0.911765
172,1,40,243.141,189.977,PuReST,0.916667
173,1,41,242.815,189.811,PuReST,0.914286
174,1,40,242.713,189.373,PuReST,0.911765
175,1,40,242.547,189.245,PuReST,0.857143
176,1,40,244.266,188.39,PuReST,0.942857
177,1,39,242.305,191.117,PuReST,0.852941
178,1,95,245.039,184.738,PuReST,0.805556
179,1,65,256.895,190.166,PuReST,0.515152
180,1,45,247.091,188.534,PuReST,0.823529
181,1,38,242.251,188.617,PuReST,0.882353
182,1,41,245.745,187.556,PuReST,0.794118
183,1,36,241.584,188.447,PuReST,0.909091
184,1,50,248.606,190.307,PuReST,0.8
185,1,38,242.449,188.33,PuReST,0.882353
186,1,37,242.225,188.132,PuReST,0.911765
187,1,37,241.931,188.207,PuReST,0.882353
188,1,53,249.682,190.313,PuReST,0.705882
189,1,38,241.327,188.537,PuReST,0.914286
190,1,37,241.827,187.933,PuReST,0.942857
191,1,40,243.468,189,PuReST,0.861111
192,1,60,253.276,190.736,PuReST,0.514286
193,1,60,253.276,190.736,PuReST,0.514286
194,1,60,253.022,191.039,PuReST,0.5
195,1,36,240.52,187.489,PuReST,0.909091
196,1,46,246.621,189.659,PuReST,0.777778
197,1,48,247.356,189.14,PuReST,0.757576
198,1,36,240.251,187.881,PuReST,0.885714
199,1,38,241.362,188.739,PuReST,0.888889
200,1,34,240.447,187.659,PuReST,0.914286
201,1,36,241.608,188.673,PuReST,0.911765
202,1,59,255.706,187.752,PuReST,0.457143
203,1,59,255.706,187.752,PuReST,0.457143
204,1,92,272.122,190.361,PuReST,0.527778
205,1,97,159.061,147.132,PuReST,0.722222
206,1,94,160.498,147.514,PuReST,0.722222
207,1,69,262.173,189.903,PuReST,0.527778
208,1,27,241.691,188.075,PuReST,0.939394
209,1,33,191.656,134.707,PuReST,0.694444
210,1,33,194.001,135.39,PuReST,0.861111
211,1,32,214.935,127.441,PuReST,0.787879
212,1,26,240.011,187.797,PuReST,1
213,1,25,241.046,187.738,PuReST,1
214,1,28,244.156,187.076,PuReST,0.735294
215,1,33,245.386,185.192,PuReST,0.823529
216,1,26,242.874,186.863,PuReST,0.757576
217,1,26,242.192,187.471,PuReST,0.878788
218,1,24,240.375,187.458,PuReST,1
219,1,24,241.385,187.461,PuReST,0.969697
220,1,23,240.679,188.009,PuReST,1
221,1,26,242.211,187.63,PuReST,0.764706
222,1,25,241.69,187.614,PuReST,0.909091
223,1,23,240.083,188.161,PuReST,1
224,1,24,240.863,187.885,PuReST,1
225,1,23,240.544,187.896,PuReST,1
226,1,21,237.245,181.86,PuReST,1
227,1,23,238.683,181.39,PuReST,0.971429
228,1,22,229.214,171.347,PuReST,1
229,1,22,229.412,171.572,PuReST,1
230,1,23,229.848,171.924,PuReST,1
231,1,23,229.804,171.038,PuReST,1
232,1,22,229.672,171.074,PuReST,1
233,1,25,231.199,171.083,PuReST,0.823529
234,1,24,230.286,171.21,PuReST,0.96875
235,1,21,226.76,171.572,PuReST,1
236,1,55,113.621,169.199,PuReST,0.2
237,1,71,275.066,178.223,PuReST,0.2
238,1,47,86.944,182.04,PuReST,0
239,1,50,258.021,184.957,PuReST,0.228571
240,1,66,95.7279,167.41,PuReST,0.0833333
241,1,35,217.428,159.749,PuReST,0.514286
242,1,20,197.684,178.616,PuReST,0.96875
243,1,20,197.662,178.847,PuReST,0.939394
244,1,33,138.249,187.052,PuReST,0.617647
245,1,28,223.622,160.114,PuReST,0.5625
246,1,30,223.015,158.938,PuReST,0.617647
247,1,52,91.3355,166.516,PuReST,0.111111
248,1,37,220.559,156.236,PuReST,0.5
249,1,20,198.4,179.77,PuReST,0.909091
250,1,20,197.224,180.406,PuReST,0.909091
251,1,24,213.533,180.249,PuReST,1
252,1,24,213.059,180.679,PuReST,1
253,1,26,230.544,182.945,PuReST,1
254,1,27,238.345,187.669,PuReST,0.969697
255,1,26,237.166,187.853,PuReST,1
256,1,26,237.576,186.764,PuReST,1
257,1,27,235.837,187.021,PuReST,1
258,1,26,234.415,189.039,PuReST,0.75
259,1,28,236.269,186.649,PuReST,1
260,1,29,237.351,185.599,PuReST,0.969697
261,1,28,236.655,185.878,PuReST,1
262,1,27,236.128,185.515,PuReST,1
263,1,27,234.01,186.35,PuReST,0.939394
264,1,26,234.152,185.436,PuReST,1
265,1,26,234.919,185.09,PuReST,1
266,1,28,237.158,187.736,PuReST,0.969697
267,1,26,234.248,188.378,PuReST,1
268,1,26,232.609,186.352,PuReST,1
269,1,26,232.089,186.688,PuReST,1
270,1,27,234.195,185.415,PuReST,1
271,1,26,234.679,184.917,PuReST,1
272,1,29,236.278,184.813,PuReST,0.969697
273,1,26,234.289,185.442,PuReST,1
274,1,27,235.234,185.023,PuReST,1
275,1,27,235.438,185.374,PuReST,1
276,1,27,235.094,185.402,PuReST,1
277,1,27,234.779,184.991,PuReST,1
278,1,28,235.429,184.292,PuReST,1
279,1,27,234.625,184.699,PuReST,1
280,1,27,235.765,184.464,PuReST,1
281,1,27,235.586,184.536,PuReST,1
282,1,27,236,184.327,PuReST,1
283,1,27,235.57,184.618,PuReST,1
284,1,27,236.252,184.15,PuReST,1
285,1,28,236.903,184.192,PuReST,1
286,1,26,236.395,184.278,PuReST,1
287,1,28,236.97,184.138,PuReST,1
288,1,26,236.805,183.721,PuReST,1
289,1,28,237.109,183.91,PuReST,1
290,1,27,236.368,183.693,PuReST,1
291,1,30,238.991,183.349,PuReST,0.882353
292,1,29,238.042,184.991,PuReST,0.971429
293,1,27,236.932,184.658,PuReST,1
294,1,26,238.087,184.481,PuReST,1
295,1,27,238.064,184.313,PuReST,0.972222
296,1,26,237.373,184.743,PuReST,1
