filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719861256858,PuReST,56,-1,-1,53,56,0.946429,238.976,156.348,134.224,171.249,0.861111,0.861111
00001.jpg,1719861256891,PuReST,42,-1,-1,18,42,0.428571,223.792,166.086,141.302,98.0562,0.666667,0.636364
00002.jpg,1719861256924,PuReST,41,-1,-1,21,41,0.512195,225.648,165.95,142.088,99.9396,0.638889,0.638889
00003.jpg,1719861256957,PuReST,41,-1,-1,21,41,0.512195,225.648,165.95,142.088,99.9396,0.638889,0.638889
00004.jpg,1719861256990,PuReST,43,-1,-1,28,43,0.651163,227.535,163.278,146.272,112.775,0.611111,0.611111
00005.jpg,1719861257023,PuReST,41,-1,-1,19,41,0.463415,224.77,166.428,141.971,97.4426,0.636364,0.636364
00006.jpg,1719861257056,PuReST,42,-1,-1,20,42,0.47619,224.529,165.488,143.32,100.479,0.676471,0.676471
00007.jpg,1719861257089,PuReST,43,-1,-1,25,43,0.581395,226.072,163.571,145.807,108.694,0.636364,0.636364
00008.jpg,1719861257122,PuReST,17,-1,-1,17,17,1,284.595,116.398,0.256347,53.4071,0.5625,0.5625
00009.jpg,1719861257155,PuReST,53,-1,-1,48,53,0.90566,235.214,155.897,3.08277,158.748,0.888889,0.888889
00010.jpg,1719861257188,PuReST,42,-1,-1,22,42,0.52381,225.56,164.696,142.152,103,0.685714,0.628571
00011.jpg,1719861257221,PuReST,15,-1,-1,13,15,0.866667,286.079,115.984,169.32,44.0384,0.53125,0.46875
00012.jpg,1719861257254,PuReST,43,-1,-1,27,43,0.627907,227.98,163.885,142.888,111.397,0.647059,0.647059
00013.jpg,1719861257287,PuReST,46,-1,-1,33,46,0.717391,229.736,160.44,148.935,124.934,0.6,0.6
00014.jpg,1719861257320,PuReST,52,-1,-1,48,52,0.923077,237.254,156.083,141.583,157.142,0.885714,0.885714
00015.jpg,1719861257353,PuReST,52,-1,-1,47,52,0.903846,237.453,156.398,152.886,155.608,0.914286,0.914286
00016.jpg,1719861257386,PuReST,50,-1,-1,47,50,0.94,238.388,155.137,163.45,152.404,0.828571,0.828571
00017.jpg,1719861257419,PuReST,50,-1,-1,43,50,0.86,237.502,156.121,152.022,146.291,0.942857,0.942857
00018.jpg,1719861257452,PuReST,47,-1,-1,42,47,0.893617,236.932,156.04,155.083,139.911,1,1
00019.jpg,1719861257485,PuReST,43,-1,-1,42,43,0.976744,236.798,154.183,151.682,133.522,1,1
00020.jpg,1719861257518,PuReST,41,-1,-1,38,41,0.926829,235.369,153.97,169.986,124.138,0.969697,0.969697
00021.jpg,1719861257551,PuReST,45,-1,-1,36,45,0.8,236.109,156.274,156.474,127.628,0.9375,0.9375
00022.jpg,1719861257584,PuReST,47,-1,-1,39,47,0.829787,237.815,154.953,157.828,135.381,0.970588,0.970588
00023.jpg,1719861257617,PuReST,65,-1,-1,46,65,0.707692,247.44,160.232,124.51,175.638,0.805556,0.805556
00024.jpg,1719861257650,PuReST,51,-1,-1,42,51,0.823529,242.08,156.407,120.276,146.426,0.888889,0.888889
00025.jpg,1719861257683,PuReST,47,-1,-1,41,47,0.87234,240.962,156.166,121.366,138.391,0.888889,0.861111
00026.jpg,1719861257716,PuReST,43,-1,-1,38,43,0.883721,238.681,156.383,142.275,127.356,1,1
00027.jpg,1719861257749,PuReST,43,-1,-1,36,43,0.837209,238.907,156.869,137.038,124.337,1,1
00028.jpg,1719861257782,PuReST,46,-1,-1,39,46,0.847826,241.016,156.714,122.238,133.744,0.861111,0.861111
