filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719902488993,PuReST,85,-1,-1,49,85,0.576471,260.496,107.238,71.5929,214.302,0.147059,0.147059
00001.jpg,1719902489026,PuReST,42,-1,-1,19,42,0.452381,286.078,92.2923,114.862,99.2549,0.171429,0.171429
00002.jpg,1719902489059,PuReST,45,-1,-1,37,45,0.822222,140.553,188.512,4.16221,129.112,0.638889,0.638889
00003.jpg,1719902489092,PuReST,48,-1,-1,47,48,0.979167,135.836,187.816,155.824,149.23,0.833333,0.833333
00004.jpg,1719902489125,PuReST,46,-1,-1,39,46,0.847826,139.305,188.718,9.02549,133.744,0.685714,0.657143
00005.jpg,1719902489158,PuReST,45,-1,-1,34,45,0.755556,142.384,187.508,179.807,124.695,0.676471,0.676471
00006.jpg,1719902489191,PuReST,27,-1,-1,14,27,0.518519,78.1228,155.945,89.9617,66.0316,0.09375,0.09375
00007.jpg,1719902489224,PuReST,46,-1,-1,16,46,0.347826,179.432,197.635,7.98795,103.176,0.457143,0.428571
00008.jpg,1719902489257,PuReST,45,-1,-1,35,45,0.777778,142.396,193.468,5.53523,126.155,0.583333,0.583333
00009.jpg,1719902489290,PuReST,28,-1,-1,17,28,0.607143,78.6118,155.887,94.3094,71.7457,0.117647,0.117647
00010.jpg,1719902489323,PuReST,15,-1,-1,5,15,0.333333,99.4414,116.677,17.0002,33.4111,0,0
00011.jpg,1719902489356,PuReST,27,-1,-1,17,27,0.62963,103.335,183.895,60.5701,70.0104,0,0
00012.jpg,1719902489389,PuReST,21,-1,-1,16,21,0.761905,165.509,197.858,71.0189,58.3851,0.545455,0.545455
00013.jpg,1719902489422,PuReST,38,-1,-1,37,38,0.973684,164.11,179.911,83.7148,117.815,0.972222,0.972222
00014.jpg,1719902489455,PuReST,38,-1,-1,37,38,0.973684,164.157,180.683,98.3771,117.815,1,1
00015.jpg,1719902489488,PuReST,38,-1,-1,38,38,1,164.112,180.829,76.8054,119.381,1,1
00016.jpg,1719902489521,PuReST,36,-1,-1,33,36,0.916667,163.944,179.991,95.9093,108.436,1,1
00017.jpg,1719902489554,PuReST,34,-1,-1,33,34,0.970588,163.55,179.919,135.385,105.249,1,1
00018.jpg,1719902489587,PuReST,34,-1,-1,34,34,1,163.173,180.189,91.0095,106.814,1,1
00019.jpg,1719902489620,PuReST,33,-1,-1,32,33,0.969697,162.559,179.95,43.9342,102.108,1,1
00020.jpg,1719902489653,PuReST,32,-1,-1,31,32,0.96875,161.652,175.73,166.778,98.9664,1,1
00021.jpg,1719902489686,PuReST,32,-1,-1,31,32,0.96875,161.5,175.577,8.19436,98.9664,1,1
00022.jpg,1719902489719,PuReST,30,-1,-1,29,30,0.966667,158.048,163.7,89.1348,92.6836,1,1
00023.jpg,1719902489752,PuReST,30,-1,-1,29,30,0.966667,158.047,163.764,87.5591,92.6836,1,1
00024.jpg,1719902489785,PuReST,30,-1,-1,28,30,0.933333,157.82,163.499,103.591,91.1333,1,1
00025.jpg,1719902489818,PuReST,28,-1,-1,27,28,0.964286,157.467,163.213,115.982,86.4009,1,1
00026.jpg,1719902489851,PuReST,28,-1,-1,27,28,0.964286,157.467,163.213,115.982,86.4009,1,1
00027.jpg,1719902489884,PuReST,27,-1,-1,27,27,1,157.568,163.88,125.709,84.823,1,1
00028.jpg,1719902489917,PuReST,26,-1,-1,25,26,0.961538,157.483,164.117,102.092,80.1183,1,1
00029.jpg,1719902489950,PuReST,26,-1,-1,26,26,1,157.519,164.053,107.543,81.6814,1,1
