Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,33,157.626,150.224,PuReST,0.848485
1,1,84,208.582,185.389,PuReST,0.916667
2,1,42,213.64,188.659,PuReST,0.941176
3,1,43,214.356,188.964,PuReST,0.942857
4,1,42,214.676,188.69,PuReST,0.941176
5,1,41,214.662,188.638,PuReST,0.942857
6,1,43,214.257,188.639,PuReST,0.942857
7,1,42,214.354,188.148,PuReST,0.942857
8,1,42,214.35,188.03,PuReST,0.942857
9,1,44,216.178,187.063,PuReST,0.861111
10,1,37,215.492,187.819,PuReST,0.970588
11,1,34,214.856,189.354,PuReST,0.941176
12,1,36,214.258,186.633,PuReST,0.942857
13,1,38,214.318,186.232,PuReST,0.944444
14,1,35,214.08,186.183,PuReST,1
15,1,34,213.443,187.819,PuReST,1
16,1,32,214.27,185.216,PuReST,1
17,1,31,214.619,185.882,PuReST,1
18,1,32,214.083,186.031,PuReST,1
19,1,31,214.571,186.113,PuReST,1
20,1,29,215.162,186.994,PuReST,1
21,1,29,214.147,185.98,PuReST,1
22,1,28,213.735,185.878,PuReST,1
23,1,27,213.824,187.26,PuReST,1
24,1,28,214.01,185.595,PuReST,1
25,1,28,214.667,185.985,PuReST,1
26,1,25,214.534,186.501,PuReST,1
27,1,26,214.814,184.967,PuReST,1
28,1,27,214.657,184.445,PuReST,1
29,1,26,215.455,185.507,PuReST,1
30,1,26,215.416,184.763,PuReST,1
31,1,25,215.143,185.057,PuReST,1
32,1,26,215.452,184.529,PuReST,1
33,1,26,215.029,183.174,PuReST,1
34,1,26,215.693,184.319,PuReST,1
35,1,24,215.575,184.523,PuReST,1
36,1,24,215.189,184.432,PuReST,1
37,1,24,215.447,184.916,PuReST,1
38,1,24,215.42,184.335,PuReST,1
39,1,23,215.251,184.55,PuReST,1
40,1,24,215.337,185.017,PuReST,1
41,1,24,215.419,183.997,PuReST,1
42,1,24,215.226,183.297,PuReST,1
43,1,23,214.906,184.109,PuReST,1
44,1,24,215.092,183.671,PuReST,1
45,1,22,214.885,185.086,PuReST,1
46,1,24,214.879,183.378,PuReST,1
47,1,24,214.558,184.8,PuReST,1
48,1,23,214.854,184.629,PuReST,1
49,1,23,214.616,184.491,PuReST,1
