Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,94,199.024,195.629,PuReST,0.857143
1,1,94,192.497,216.546,PuReST,0.694444
2,1,54,187.258,218.065,PuReST,0.96875
3,1,55,185.88,218.952,PuReST,0.942857
4,1,55,185.424,219.01,PuReST,0.942857
5,1,53,186.975,217.98,PuReST,0.942857
6,1,53,187.352,217.801,PuReST,0.942857
7,1,53,187.352,217.801,PuReST,0.942857
8,1,52,186.282,218.122,PuReST,0.972222
9,1,52,186.289,218.041,PuReST,0.972222
10,1,51,185.672,218.143,PuReST,0.941176
11,1,52,185.953,217.926,PuReST,0.972222
12,1,49,185.309,217.628,PuReST,0.971429
13,1,46,189.499,201.775,PuReST,0.888889
14,1,46,189.35,201.772,PuReST,0.888889
15,1,45,189.874,201.833,PuReST,0.857143
16,1,41,190.228,199.728,PuReST,0.916667
17,1,42,189.715,201.222,PuReST,0.911765
18,1,42,188.974,199.182,PuReST,0.942857
19,1,39,190.359,197.783,PuReST,0.916667
20,1,96,194.984,186.567,PuReST,1
21,1,96,195.013,186.558,PuReST,1
22,1,99,194.632,185.322,PuReST,1
23,1,31,197.605,180.311,PuReST,0.71875
24,1,121,187.209,178.717,PuReST,0.916667
25,1,124,186.272,177.957,PuReST,0.888889
26,1,34,194.275,185.552,PuReST,1
27,1,35,193.867,186.198,PuReST,1
28,1,34,194.091,186.032,PuReST,1
29,1,34,194.008,186.333,PuReST,1
30,1,34,193.755,186.41,PuReST,1
31,1,33,193.129,186.883,PuReST,1
32,1,33,193.182,186.447,PuReST,1
33,1,33,193.187,186.696,PuReST,1
34,1,32,193.162,186.654,PuReST,1
35,1,32,192.373,186.799,PuReST,1
36,1,30,191.397,188.472,PuReST,1
37,1,31,192.747,186.218,PuReST,1
38,1,30,192.625,185.778,PuReST,1
39,1,30,192.583,185.941,PuReST,1
40,1,31,192.627,186.062,PuReST,1
41,1,30,192.152,185.718,PuReST,1
42,1,29,192.968,184.472,PuReST,1
43,1,30,192.182,184.629,PuReST,1
44,1,29,194.243,180.351,PuReST,1
45,1,29,194.398,180.19,PuReST,1
46,1,29,194.131,180.007,PuReST,1
47,1,28,193.714,180.718,PuReST,1
48,1,29,194.029,179.834,PuReST,1
49,1,28,194.125,179.871,PuReST,1
50,1,29,194.052,180.032,PuReST,1
51,1,28,194.239,179.984,PuReST,1
52,1,29,194.147,180.012,PuReST,1
53,1,28,194.134,180.115,PuReST,1
54,1,28,194.087,180.124,PuReST,1
55,1,28,193.975,180.12,PuReST,1
56,1,28,194.17,179.795,PuReST,1
57,1,28,194.17,179.795,PuReST,1
58,1,28,194.17,179.795,PuReST,1
59,1,28,194.15,179.699,PuReST,1
60,1,28,194.056,179.774,PuReST,1
61,1,28,196.929,177.257,PuReST,1
62,1,28,197.368,176.988,PuReST,1
63,1,28,197.282,176.813,PuReST,1
64,1,28,197.489,176.796,PuReST,1
65,1,28,197.305,176.758,PuReST,1
66,1,28,197.389,176.596,PuReST,1
67,1,28,197.389,176.596,PuReST,1
68,1,28,197.378,176.507,PuReST,1
69,1,29,197.596,176.541,PuReST,1
70,1,29,197.832,176.653,PuReST,1
71,1,29,198.26,177.072,PuReST,1
72,1,29,198.324,177.121,PuReST,1
73,1,29,198.72,177.043,PuReST,1
74,1,29,198.59,177.026,PuReST,1
75,1,29,198.619,177.088,PuReST,1
76,1,29,198.702,176.96,PuReST,1
77,1,29,198.861,176.672,PuReST,1
78,1,29,198.879,176.716,PuReST,1
79,1,30,198.888,176.785,PuReST,1
80,1,29,198.808,176.387,PuReST,1
81,1,29,198.952,176.454,PuReST,1
82,1,30,199.077,176.852,PuReST,1
83,1,30,199.117,176.617,PuReST,1
84,1,29,198.435,177.902,PuReST,1
85,1,30,205.42,174.487,PuReST,1
86,1,30,206.701,174.148,PuReST,1
87,1,30,206.235,174.165,PuReST,1
88,1,31,206.707,174.052,PuReST,1
89,1,31,206.048,174.114,PuReST,1
90,1,32,206.215,174.134,PuReST,1
91,1,32,205.875,174.303,PuReST,1
92,1,32,205.911,174.294,PuReST,1
93,1,32,205.729,174.386,PuReST,1
94,1,32,205.736,174.423,PuReST,1
95,1,32,205.937,174.568,PuReST,1
96,1,32,206.155,174.596,PuReST,1
97,1,32,206.096,174.513,PuReST,1
98,1,32,205.734,174.507,PuReST,1
99,1,32,205.816,174.351,PuReST,1
100,1,31,206.097,174.851,PuReST,1
101,1,31,206.722,174.609,PuReST,1
102,1,32,207.061,174.502,PuReST,1
103,1,31,206.577,174.5,PuReST,1
104,1,31,206.406,174.279,PuReST,1
105,1,31,206.834,174.35,PuReST,1
106,1,30,206.697,174.305,PuReST,1
