filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1711277654934,PuReST,26,26,-1,25,26,0.961538,225.454,158.134,36.2108,80.1183,1,1
00001.jpg,1711277654967,PuReST,26,26,-1,26,26,1,225.7,158.361,32.9429,81.6814,1,1
00002.jpg,1711277655000,PuReST,26,26,-1,26,26,1,225.67,158.335,30.4045,81.6814,1,1
00003.jpg,1711277655033,PuReST,27,27,-1,26,27,0.962963,225.742,158.882,44.8461,83.2596,1,1
00004.jpg,1711277655066,PuReST,28,28,-1,27,28,0.964286,222.133,166.513,93.8701,86.4009,1,1
00005.jpg,1711277655099,PuReST,27,27,-1,27,27,1,221.397,167.415,91.273,84.823,1,1
00006.jpg,1711277655132,PuReST,28,28,-1,27,28,0.964286,221.396,167.497,69.3134,86.4009,1,1
00007.jpg,1711277655165,PuReST,27,27,-1,26,27,0.962963,220.978,167.106,71.1116,83.2596,1,1
00008.jpg,1711277655198,PuReST,28,28,-1,26,28,0.928571,220.799,167.423,56.3515,84.8521,1,1
00009.jpg,1711277655231,PuReST,28,28,-1,26,28,0.928571,220.799,167.423,56.3515,84.8521,1,1
00010.jpg,1711277655264,PuReST,28,28,-1,27,28,0.964286,220.907,167.629,48.2598,86.4009,1,1
00011.jpg,1711277655297,PuReST,28,28,-1,27,28,0.964286,220.824,167.943,19.3493,86.4009,1,1
00012.jpg,1711277655330,PuReST,27,27,-1,26,27,0.962963,221.282,167.602,115.417,83.2596,1,1
00013.jpg,1711277655363,PuReST,27,27,-1,27,27,1,221.077,167.97,155.856,84.823,1,1
00014.jpg,1711277655396,PuReST,27,27,-1,27,27,1,220.967,168.205,178.656,84.823,1,1
00015.jpg,1711277655429,PuReST,28,28,-1,25,28,0.892857,221.283,166.627,99.3898,83.3189,1,1
00016.jpg,1711277655462,PuReST,28,28,-1,26,28,0.928571,221.01,167.66,61.4594,84.8521,1,1
00017.jpg,1711277655495,PuReST,30,30,-1,18,30,0.6,222.735,160.081,73.8624,76.581,0.794118,0.794118
00018.jpg,1711277655528,PuReST,-1,-1,-1,-1,-1,1,67,63,-1,-1,-1,-1
00019.jpg,1711277655561,PuReST,20,20,-1,7,20,0.35,222.898,191.358,83.1373,44.9062,0.354839,0.354839
00020.jpg,1711277655594,PuReST,34,34,-1,22,34,0.647059,223.561,144.667,79.5629,88.9773,0.941176,0.941176
00021.jpg,1711277655627,PuReST,51,51,-1,31,51,0.607843,231.034,136.273,53.1043,130.728,0.742857,0.8
00022.jpg,1711277655660,PuReST,27,27,-1,24,27,0.888889,221.493,144.059,71.9493,80.1799,0.939394,0.939394
00023.jpg,1711277655693,PuReST,33,33,-1,25,33,0.757576,223.99,142.668,71.0472,91.54,1,1
00024.jpg,1711277655726,PuReST,30,30,-1,25,30,0.833333,222.624,142.994,70.2613,86.5724,1,1
00025.jpg,1711277655759,PuReST,28,28,-1,24,28,0.857143,221.612,144.003,89.0024,81.8023,1,1
00026.jpg,1711277655792,PuReST,28,28,-1,25,28,0.892857,221.769,143.655,80.6092,83.3189,1,1
00027.jpg,1711277655825,PuReST,28,28,-1,25,28,0.892857,221.758,143.687,78.9694,83.3189,1,1
00028.jpg,1711277655858,PuReST,28,28,-1,24,28,0.857143,221.821,144.144,80.2037,81.8023,1,1
00029.jpg,1711277655891,PuReST,31,31,-1,25,31,0.806452,222.917,143.677,66.1372,88.2172,1,1
00030.jpg,1711277655924,PuReST,30,30,-1,24,30,0.8,222.464,143.825,58.6088,85.085,1,1
00031.jpg,1711277655957,PuReST,29,29,-1,25,29,0.862069,221.527,144.112,48.121,84.9394,1,1
00032.jpg,1711277655990,PuReST,27,27,-1,23,27,0.851852,221.05,145.537,84.834,78.6655,1,1
00033.jpg,1711277656023,PuReST,27,27,-1,23,27,0.851852,221.047,145.543,85.0198,78.6655,1,1
00034.jpg,1711277656056,PuReST,29,29,-1,25,29,0.862069,221.856,144.191,50.3266,84.9394,1,1
00035.jpg,1711277656089,PuReST,27,27,-1,24,27,0.888889,221.25,145.002,76.0728,80.1799,1,1
00036.jpg,1711277656122,PuReST,27,27,-1,23,27,0.851852,221.482,146.054,83.2072,78.6655,1,1
00037.jpg,1711277656155,PuReST,27,27,-1,24,27,0.888889,221.7,145.323,62.8868,80.1799,1,1
00038.jpg,1711277656188,PuReST,26,26,-1,24,26,0.923077,221.948,145.172,61.4658,78.5712,1,1
00039.jpg,1711277656221,PuReST,27,27,-1,23,27,0.851852,222.011,145.677,62.478,78.6655,1,1
00040.jpg,1711277656254,PuReST,27,27,-1,23,27,0.851852,221.78,145.808,61.2,78.6655,1,1
00041.jpg,1711277656287,PuReST,27,27,-1,24,27,0.888889,221.785,145.718,59.5633,80.1799,1,1
00042.jpg,1711277656320,PuReST,27,27,-1,24,27,0.888889,221.804,145.627,55.1577,80.1799,1,1
00043.jpg,1711277656353,PuReST,26,26,-1,23,26,0.884615,221.909,145.522,52.4814,77.0412,1,1
