Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,33,191.25,191.875,PuReST,0.30303
1,1,45,195.597,196.639,PuReST,0.515152
2,1,30,274.317,209.68,PuReST,0.03125
3,1,10,187.856,186.816,PuReST,0
4,1,89,264.469,175.519,PuReST,0.0571429
5,1,18,273.774,219.929,PuReST,0.28125
6,1,40,255.736,163.325,PuReST,0.0588235
7,1,29,253.512,169.658,PuReST,0
8,1,84,167.022,228.294,PuReST,0.457143
9,1,41,274.411,202.463,PuReST,0.2
10,1,27,273.761,214.69,PuReST,0.09375
11,0,-1,-1.25,-1.25,PuReST,-1
12,1,29,271.72,214.052,PuReST,0.147059
13,1,56,263.441,201.059,PuReST,0.0909091
14,1,28,272.4,219.372,PuReST,0
15,1,78,96.219,185.122,PuReST,0.361111
16,1,26,271.864,218.618,PuReST,0.121212
17,1,37,196.118,115.696,PuReST,0.0285714
18,1,129,222.231,134.219,PuReST,0
19,1,35,273.858,219.04,PuReST,0
20,1,31,269.302,215.773,PuReST,0.147059
21,1,66,254.606,139.507,PuReST,0
22,1,128,179.861,134.965,PuReST,0.235294
23,1,16,284.293,124.197,PuReST,0.28125
24,1,44,220.986,245.02,PuReST,0.0294118
25,1,52,293.432,134.841,PuReST,0.333333
26,1,56,253.13,169.849,PuReST,0.0285714
27,1,38,183.122,94.9567,PuReST,0.428571
28,1,38,295.119,134.393,PuReST,0.382353
29,1,34,275.586,209.68,PuReST,0.147059
30,1,36,276.531,208.607,PuReST,0.212121
31,1,45,276.515,76.847,PuReST,0.228571
32,1,39,246.961,204.367,PuReST,0.0588235
33,1,43,244.9,184.81,PuReST,0.111111
34,1,45,168.403,212.684,PuReST,1
35,1,46,275.348,78.9266,PuReST,0.28125
36,1,80,229.302,152.386,PuReST,0.0555556
37,1,29,154.551,88.9678,PuReST,0
38,1,28,114.016,154.181,PuReST,0.0909091
39,1,38,259.336,183.524,PuReST,0.147059
40,1,34,156.962,199.092,PuReST,0.176471
41,1,37,281.884,125.949,PuReST,0.121212
42,1,126,94.0808,110.707,PuReST,0
43,1,45,273.907,172.792,PuReST,0.121212
44,1,32,174.72,119.371,PuReST,0.242424
45,1,15,283.658,126.655,PuReST,0.21875
46,1,33,177.262,119.32,PuReST,0.121212
47,1,110,223.519,175.412,PuReST,0.111111
48,1,22,245.72,195.466,PuReST,0
49,1,30,154.079,88.4727,PuReST,0
50,1,17,213.603,109.51,PuReST,0
51,1,32,213.504,109.92,PuReST,0
52,1,120,274.26,162.798,PuReST,0.0857143
53,1,41,170.751,204.975,PuReST,0.685714
54,1,106,203.518,141.686,PuReST,0.142857
55,1,24,183.133,204.44,PuReST,0.125
56,1,24,183.133,204.44,PuReST,0.125
57,1,43,166.259,154.524,PuReST,0.363636
58,1,76,174.931,221.663,PuReST,0.823529
59,1,9,238.276,192.764,PuReST,0
60,1,30,268.764,211.71,PuReST,0.142857
61,1,63,265.998,190.109,PuReST,0.151515
62,1,55,267.103,199.637,PuReST,0.0833333
63,1,52,153.444,104.901,PuReST,0.212121
64,1,35,245.527,163.923,PuReST,0.030303
65,1,35,245.502,164.011,PuReST,0.0294118
66,1,47,267.425,142.371,PuReST,0.138889
67,1,26,273.325,210.908,PuReST,0.0909091
68,1,21,252.011,229.644,PuReST,0
69,1,40,270.108,137.96,PuReST,0.228571
70,1,100,145.288,175.346,PuReST,0.638889
71,1,98,135.132,147.392,PuReST,0.722222
72,1,94,137.556,147.759,PuReST,0.96875
73,1,35,214.548,131.659,PuReST,0.764706
74,1,51,134.612,138.514,PuReST,0.857143
75,1,54,133.338,137.55,PuReST,0.852941
76,1,53,132.512,137.135,PuReST,0.848485
77,1,51,132.7,138.536,PuReST,0.857143
78,1,52,132.168,138.128,PuReST,0.861111
79,1,52,131.819,138.069,PuReST,0.857143
80,1,52,131.608,138.048,PuReST,0.857143
81,1,52,131.385,137.964,PuReST,0.857143
82,1,51,131.156,137.792,PuReST,0.885714
83,1,50,131.938,137.558,PuReST,0.861111
84,1,52,130.236,136.947,PuReST,0.885714
85,1,52,130.946,137.104,PuReST,0.885714
86,1,51,131.122,137.143,PuReST,0.885714
87,1,52,131.306,137.057,PuReST,0.885714
88,1,52,126.768,137.099,PuReST,0.888889
89,1,52,126.836,136.996,PuReST,0.885714
90,1,65,117.773,141.468,PuReST,0.888889
91,1,45,124.714,137.395,PuReST,0.735294
92,1,28,133.454,131.453,PuReST,0.787879
93,1,45,124.769,137.623,PuReST,0.735294
94,1,47,123.822,137.951,PuReST,0.75
95,1,45,124.949,137.395,PuReST,0.757576
96,1,59,118.549,139.339,PuReST,0.823529
97,1,60,118.549,139.158,PuReST,0.8
98,1,62,117.986,139.963,PuReST,0.833333
99,1,44,124.75,137.116,PuReST,0.676471
100,1,56,116.473,136.583,PuReST,0.787879
101,1,56,115.899,136.639,PuReST,0.794118
102,1,51,117.714,136.315,PuReST,0.823529
103,1,54,117.245,136.711,PuReST,0.857143
104,1,55,116.606,137.275,PuReST,0.861111
105,1,60,115.009,138.543,PuReST,0.882353
106,1,49,118.496,137.043,PuReST,0.714286
107,1,54,115.591,137.37,PuReST,0.857143
108,1,54,115.195,137.744,PuReST,0.794118
109,1,56,116.023,138.229,PuReST,0.833333
110,1,54,114.493,137.193,PuReST,0.777778
111,1,54,114.512,137.12,PuReST,0.777778
112,1,53,115.327,137.367,PuReST,0.8
113,1,54,115.71,137.869,PuReST,0.828571
114,1,54,115.015,137.444,PuReST,0.805556
115,1,53,115.641,137.581,PuReST,0.794118
116,1,54,115.972,137.312,PuReST,0.805556
117,1,60,114.574,138.768,PuReST,0.794118
118,1,58,113.215,136.484,PuReST,0.742857
119,1,60,113.715,141.484,PuReST,0.828571
120,1,54,114.811,136.177,PuReST,0.777778
121,1,54,115.574,136.471,PuReST,0.805556
122,1,53,117.249,137.511,PuReST,0.805556
123,1,54,115.625,136.466,PuReST,0.833333
124,1,54,115.284,137.044,PuReST,0.805556
125,1,52,116.061,136.387,PuReST,0.805556
126,1,47,128.902,139.483,PuReST,0.828571
127,1,49,127.697,139.525,PuReST,0.833333
128,1,44,131.864,139.913,PuReST,0.777778
129,1,32,138.889,135.135,PuReST,0.8
130,1,44,131.999,140.138,PuReST,0.8
131,1,42,133.254,139.933,PuReST,0.823529
132,1,44,132.58,140.122,PuReST,0.823529
133,1,42,133.167,139.704,PuReST,0.828571
134,1,33,140.348,134.558,PuReST,0.771429
135,1,44,132.812,140.238,PuReST,0.805556
136,1,45,132.516,139.859,PuReST,0.828571
137,1,45,133.008,139.979,PuReST,0.823529
138,1,49,131.801,140.185,PuReST,0.875
139,1,51,131.632,140.34,PuReST,0.875
140,1,44,134.637,139.708,PuReST,0.885714
141,1,49,132.812,140.254,PuReST,0.882353
142,1,50,132.245,140.471,PuReST,0.878788
143,1,50,132.16,139.757,PuReST,0.914286
144,1,55,129.654,138.702,PuReST,0.805556
145,1,52,131.984,139.806,PuReST,0.888889
146,1,50,133.006,139.884,PuReST,0.857143
147,1,52,132.86,140.375,PuReST,0.878788
148,1,51,133.091,140.514,PuReST,0.888889
149,1,51,132.992,140.281,PuReST,0.888889
150,1,51,133.551,140.247,PuReST,0.857143
151,1,50,133.568,140.304,PuReST,0.857143
152,1,51,133.125,140.424,PuReST,0.857143
153,1,50,133.415,140.563,PuReST,0.84375
154,1,50,133.349,140.865,PuReST,0.875
155,1,49,133.92,140.576,PuReST,0.878788
156,1,49,133.823,140.726,PuReST,0.882353
157,1,49,133.789,140.799,PuReST,0.852941
158,1,52,132.606,140.736,PuReST,0.888889
159,1,52,132.573,140.306,PuReST,0.861111
160,1,49,134.012,140.312,PuReST,0.875
161,1,52,132.644,140.466,PuReST,0.916667
162,1,52,132.973,139.978,PuReST,0.916667
163,1,49,134.184,139.885,PuReST,0.882353
164,1,51,133.881,139.639,PuReST,0.888889
165,1,50,133.98,140.055,PuReST,0.878788
166,1,52,132.958,139.069,PuReST,0.857143
167,1,51,133.771,139.36,PuReST,0.857143
168,1,54,133.914,137.752,PuReST,0.942857
169,1,57,133.401,136.104,PuReST,1
170,1,51,136.831,140.451,PuReST,0.888889
171,1,50,136.923,140.963,PuReST,0.885714
172,1,51,136.073,142.054,PuReST,0.885714
173,1,51,135.815,142.066,PuReST,0.885714
174,1,49,136.266,142.431,PuReST,0.857143
175,1,50,135.35,142.997,PuReST,0.911765
176,1,49,136.137,143.377,PuReST,0.882353
177,1,48,136.604,143.495,PuReST,0.882353
178,1,49,135.815,143.056,PuReST,0.885714
179,1,51,134.676,142.674,PuReST,0.888889
180,1,51,134.377,143.221,PuReST,0.882353
181,1,50,134.893,143.999,PuReST,0.909091
182,1,50,127.898,149.574,PuReST,0.857143
183,1,55,126.864,150.504,PuReST,0.857143
184,1,65,115.777,154.545,PuReST,0.794118
185,1,36,221.62,154.329,PuReST,0.205882
186,1,62,234.938,154.325,PuReST,0.111111
187,1,80,218.49,132.8,PuReST,0.0588235
188,1,45,173.949,59.6174,PuReST,0.514286
189,1,83,197.598,114.803,PuReST,0.0833333
190,1,40,122.968,171.552,PuReST,0.885714
191,1,99,117.376,176.429,PuReST,0.857143
192,1,105,115.06,182.64,PuReST,0.694444
193,1,105,115.275,182.428,PuReST,0.722222
194,1,105,115.129,182.332,PuReST,0.722222
195,1,24,306.668,105.854,PuReST,0
196,1,67,272.856,150.09,PuReST,0.138889
197,1,72,270.112,152.143,PuReST,0.0882353
198,1,28,134.854,188.031,PuReST,0.030303
199,1,13,174.265,152.251,PuReST,0.1
200,1,58,141.622,116.525,PuReST,0.388889
201,1,28,275.111,212.698,PuReST,0.03125
202,0,-1,-1.25,-1.25,PuReST,-1
203,1,59,159.654,157.639,PuReST,0.59375
204,1,39,125.012,192.608,PuReST,0.617647
205,1,87,168.132,132.843,PuReST,0.571429
206,1,30,281.846,126.997,PuReST,0.176471
207,1,6,237.283,188.587,PuReST,0
208,1,40,115.565,186.898,PuReST,0.285714
209,1,38,111.109,190.416,PuReST,0.117647
210,0,-1,-1.25,-1.25,PuReST,-1
211,1,35,112.267,191.925,PuReST,0.0294118
212,1,63,271.855,194.346,PuReST,0.171429
213,1,33,151.733,93.7294,PuReST,0
214,1,56,192.541,85.6181,PuReST,0.514286
215,1,93,143.293,185.275,PuReST,0.472222
216,1,29,153.404,89.8298,PuReST,0
217,1,30,153.431,90.4073,PuReST,0
218,1,44,117.485,192.643,PuReST,0.117647
219,1,27,297.712,124.254,PuReST,0.176471
220,1,64,219.485,159.653,PuReST,0.0857143
221,1,35,64.1667,161.25,PuReST,0.114286
222,1,56,125.013,190.836,PuReST,0.0857143
223,1,35,109.775,193.19,PuReST,0.0571429
224,1,29,140.536,107.868,PuReST,0.484848
225,1,72,133.064,86.4383,PuReST,0.114286
226,1,34,151.691,90.1092,PuReST,0
227,1,36,149.601,91.4588,PuReST,0
228,1,30,271.937,194.653,PuReST,0
229,1,100,161.939,162.269,PuReST,0.941176
230,1,99,165.825,154.908,PuReST,0.944444
231,1,96,165.139,153.33,PuReST,0.972222
232,1,99,165.118,154.175,PuReST,0.970588
233,1,86,172.393,149.682,PuReST,1
234,1,101,165.176,154.542,PuReST,0.972222
235,1,100,164.939,154.943,PuReST,0.970588
236,1,98,164.63,154.21,PuReST,0.971429
237,1,96,164.699,152.106,PuReST,1
238,1,100,164.19,155.098,PuReST,1
239,1,102,163.5,157.44,PuReST,0.914286
240,1,101,163.818,156.712,PuReST,0.911765
241,1,102,164.373,156.826,PuReST,1
242,1,95,166.252,151.906,PuReST,0.941176
243,1,101,164.048,155.978,PuReST,0.972222
244,1,101,164.958,155.476,PuReST,0.970588
245,1,99,164.51,153.64,PuReST,0.971429
246,1,101,164.82,155.292,PuReST,1
247,1,99,165.045,155.915,PuReST,0.971429
248,1,101,159.681,160.21,PuReST,0.888889
249,1,100,160.032,158.308,PuReST,0.861111
250,1,95,161.673,155.577,PuReST,0.944444
251,1,39,159.978,152.789,PuReST,0.514286
252,1,97,161.467,150.449,PuReST,1
253,1,98,160.126,151.808,PuReST,0.911765
254,1,97,160.447,149.723,PuReST,1
255,1,98,158.98,150.407,PuReST,1
256,1,99,156.344,152.633,PuReST,0.969697
257,1,97,156.448,149.748,PuReST,1
258,1,98,155.436,150.355,PuReST,1
259,1,98,155.227,151.037,PuReST,1
260,1,98,155.67,150.516,PuReST,1
261,1,98,155.856,151.341,PuReST,1
262,1,97,157.69,149.018,PuReST,1
263,1,98,155.447,151.801,PuReST,1
264,1,97,156.006,150.621,PuReST,1
265,1,99,154.633,152.449,PuReST,1
266,1,98,155.086,149.212,PuReST,1
267,1,99,154.471,150.958,PuReST,1
268,1,99,154.364,149.324,PuReST,0.969697
269,1,98,154.116,149.099,PuReST,1
270,1,98,154.087,149.178,PuReST,1
271,1,98,151.25,150.423,PuReST,1
272,1,100,150.079,153.004,PuReST,1
273,1,86,146.656,140.12,PuReST,0.914286
274,1,98,151.084,150.105,PuReST,0.970588
275,1,99,150.994,149.244,PuReST,0.971429
276,1,98,151.992,147.268,PuReST,0.972222
277,1,99,150.526,149.617,PuReST,1
278,1,99,150.542,148.791,PuReST,1
279,1,99,150.976,149.023,PuReST,1
280,1,99,150.976,149.023,PuReST,1
281,1,100,148.827,150.296,PuReST,1
282,1,100,146.503,150.468,PuReST,1
283,1,100,146.532,149.274,PuReST,0.971429
284,1,100,146.03,150.144,PuReST,1
285,1,99,146.311,147.742,PuReST,0.942857
286,1,54,144.02,153.94,PuReST,1
287,1,40,147.583,140.929,PuReST,0.727273
288,1,48,147.431,147.804,PuReST,0.942857
289,1,41,142.128,146.592,PuReST,0.971429
290,1,43,145.726,145.565,PuReST,1
291,1,47,149.283,147.74,PuReST,0.911765
292,1,46,145.414,147.536,PuReST,1
293,1,45,145.036,146.589,PuReST,1
294,1,45,147.269,145.932,PuReST,0.969697
