filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719908342174,PuReST,24,-1,-1,13,24,0.541667,164.138,157.379,92.5972,59.4109,0,0
00001.jpg,1719908342207,PuReST,30,-1,-1,15,30,0.5,193.808,90.4702,2.67692,72.6632,0.617647,0.617647
00002.jpg,1719908342240,PuReST,30,-1,-1,15,30,0.5,193.808,90.4702,2.67692,72.6632,0.617647,0.617647
00003.jpg,1719908342273,PuReST,30,-1,-1,15,30,0.5,193.808,90.4702,2.67692,72.6632,0.617647,0.617647
00004.jpg,1719908342306,PuReST,30,-1,-1,15,30,0.5,193.808,90.4702,2.67692,72.6632,0.617647,0.617647
00005.jpg,1719908342339,PuReST,30,-1,-1,15,30,0.5,193.808,90.4702,2.67692,72.6632,0.617647,0.617647
00006.jpg,1719908342372,PuReST,30,-1,-1,15,30,0.5,193.808,90.4702,2.67692,72.6632,0.617647,0.617647
00007.jpg,1719908342405,PuReST,33,-1,-1,16,33,0.484848,193.238,91.49,4.76363,79.3028,0.666667,0.666667
00008.jpg,1719908342438,PuReST,40,-1,-1,31,40,0.775,183.409,100.256,10.1678,111.975,0.882353,0.941176
00009.jpg,1719908342471,PuReST,30,-1,-1,30,30,1,179.59,79.5506,143.042,94.2478,0.714286,0.714286
00010.jpg,1719908342504,PuReST,34,-1,-1,29,34,0.852941,179.86,78.0306,164.849,99.1161,0.685714,0.685714
00011.jpg,1719908342537,PuReST,33,-1,-1,29,33,0.878788,179.711,78.2468,161.439,97.4907,0.657143,0.657143
00012.jpg,1719908342570,PuReST,31,-1,-1,29,31,0.935484,180.352,79.5123,162.72,94.274,0.676471,0.676471
00013.jpg,1719908342603,PuReST,32,-1,-1,29,32,0.90625,180.099,79.3394,153.744,95.8765,0.676471,0.676471
00014.jpg,1719908342636,PuReST,33,-1,-1,30,33,0.909091,180.261,79.508,153.193,99.0163,0.676471,0.676471
00015.jpg,1719908342669,PuReST,33,-1,-1,30,33,0.909091,180.261,79.508,153.193,99.0163,0.676471,0.676471
00016.jpg,1719908342702,PuReST,33,-1,-1,30,33,0.909091,180.441,79.4211,163.195,99.0163,0.657143,0.657143
00017.jpg,1719908342735,PuReST,33,-1,-1,30,33,0.909091,180.383,79.7673,152.811,99.0163,0.705882,0.705882
00018.jpg,1719908342768,PuReST,33,-1,-1,30,33,0.909091,180.455,79.8656,149.046,99.0163,0.69697,0.69697
00019.jpg,1719908342801,PuReST,33,-1,-1,30,33,0.909091,180.39,80.0372,145.757,99.0163,0.685714,0.685714
00020.jpg,1719908342834,PuReST,34,-1,-1,30,34,0.882353,180.513,79.8422,147.428,100.629,0.676471,0.676471
00021.jpg,1719908342867,PuReST,34,-1,-1,30,34,0.882353,180.594,79.7714,148.955,100.629,0.685714,0.685714
00022.jpg,1719908342900,PuReST,35,-1,-1,30,35,0.857143,180.571,79.2109,158.011,102.253,0.676471,0.676471
00023.jpg,1719908342933,PuReST,35,-1,-1,31,35,0.885714,180.621,79.6816,157.784,103.768,0.685714,0.685714
00024.jpg,1719908342966,PuReST,34,-1,-1,31,34,0.911765,180.582,80.5151,133.714,102.156,0.742857,0.742857
00025.jpg,1719908342999,PuReST,36,-1,-1,31,36,0.861111,180.55,79.099,157.984,105.39,0.617647,0.617647
00026.jpg,1719908343032,PuReST,37,-1,-1,31,37,0.837838,180.66,78.9617,158.889,107.022,0.617647,0.617647
00027.jpg,1719908343065,PuReST,36,-1,-1,31,36,0.861111,180.623,79.0895,156.907,105.39,0.636364,0.636364
00028.jpg,1719908343098,PuReST,36,-1,-1,32,36,0.888889,180.652,79.4192,154.763,106.907,0.685714,0.685714
00029.jpg,1719908343131,PuReST,37,-1,-1,32,37,0.864865,180.653,79.4052,157.857,108.527,0.617647,0.617647
00030.jpg,1719908343164,PuReST,38,-1,-1,32,38,0.842105,180.715,78.877,163.65,110.158,0.676471,0.676471
00031.jpg,1719908343197,PuReST,37,-1,-1,32,37,0.864865,180.61,79.3659,157.644,108.527,0.617647,0.617647
00032.jpg,1719908343230,PuReST,36,-1,-1,32,36,0.888889,180.515,80.1233,154.638,106.907,0.685714,0.685714
00033.jpg,1719908343263,PuReST,39,-1,-1,32,39,0.820513,179.999,79.1004,153.485,111.798,0.647059,0.647059
00034.jpg,1719908343296,PuReST,39,-1,-1,32,39,0.820513,179.999,79.1004,153.485,111.798,0.647059,0.647059
00035.jpg,1719908343329,PuReST,35,-1,-1,33,35,0.942857,180.842,80.6686,153.261,106.837,0.742857,0.742857
00036.jpg,1719908343362,PuReST,36,-1,-1,32,36,0.888889,176.825,81.839,165.357,106.907,0.694444,0.694444
00037.jpg,1719908343395,PuReST,35,-1,-1,34,35,0.971429,176.191,82.0975,141.178,108.391,0.705882,0.705882
00038.jpg,1719908343428,PuReST,36,-1,-1,36,36,1,172.787,82.3736,104.599,113.097,0.694444,0.694444
00039.jpg,1719908343461,PuReST,42,-1,-1,37,42,0.880952,176.485,79.3664,17.3379,124.217,0.571429,0.571429
00040.jpg,1719908343494,PuReST,42,-1,-1,37,42,0.880952,176.485,79.3664,17.3379,124.217,0.571429,0.571429
00041.jpg,1719908343527,PuReST,38,-1,-1,33,38,0.868421,174.224,81.4829,165.72,111.665,0.694444,0.694444
00042.jpg,1719908343560,PuReST,37,-1,-1,33,37,0.891892,174.481,81.9431,168.307,110.046,0.676471,0.676471
00043.jpg,1719908343593,PuReST,44,-1,-1,34,44,0.772727,173.43,79.1428,162.323,123.026,0.628571,0.628571
00044.jpg,1719908343626,PuReST,38,-1,-1,33,38,0.868421,174.362,81.7869,164.281,111.665,0.685714,0.685714
00045.jpg,1719908343659,PuReST,38,-1,-1,34,38,0.894737,174.502,81.6517,169.704,113.185,0.666667,0.666667
00046.jpg,1719908343692,PuReST,68,-1,-1,51,68,0.75,178.535,106.45,84.0266,187.88,0.828571,0.828571
00047.jpg,1719908343725,PuReST,38,-1,-1,35,38,0.921053,174.143,82.1017,157.758,114.717,0.685714,0.685714
00048.jpg,1719908343758,PuReST,38,-1,-1,34,38,0.894737,174.436,82.0414,162.436,113.185,0.676471,0.676471
00049.jpg,1719908343791,PuReST,42,-1,-1,34,42,0.809524,173.82,80.5999,159.228,119.711,0.638889,0.638889
00050.jpg,1719908343824,PuReST,39,-1,-1,34,39,0.871795,174.298,82.1176,163.139,114.803,0.676471,0.676471
00051.jpg,1719908343857,PuReST,37,-1,-1,34,37,0.918919,174.846,82.6952,177.786,111.576,0.694444,0.694444
00052.jpg,1719908343890,PuReST,38,-1,-1,36,38,0.947368,175.886,82.807,20.3522,116.26,0.666667,0.666667
00053.jpg,1719908343923,PuReST,38,-1,-1,36,38,0.947368,175.886,82.807,20.3522,116.26,0.666667,0.666667
00054.jpg,1719908343956,PuReST,39,-1,-1,36,39,0.923077,173.666,86.6209,24.2636,117.857,0.714286,0.714286
00055.jpg,1719908343989,PuReST,38,-1,-1,22,38,0.578947,176.243,91.6585,23.9155,95.9308,0.861111,0.861111
00056.jpg,1719908344022,PuReST,35,-1,-1,21,35,0.6,104.139,87.1498,101.217,89.3445,0.428571,0.428571
00057.jpg,1719908344055,PuReST,43,-1,-1,29,43,0.674419,168.193,95.0207,174.801,114.169,0.970588,0.970588
00058.jpg,1719908344088,PuReST,22,-1,-1,7,22,0.318182,129.879,238.895,48.5648,48.6526,0,0
00059.jpg,1719908344121,PuReST,64,-1,-1,39,64,0.609375,160.613,85.7434,156.151,164.184,0.527778,0.527778
00060.jpg,1719908344154,PuReST,47,-1,-1,26,47,0.553191,161.997,94.7797,36.183,117.053,0.742857,0.771429
00061.jpg,1719908344187,PuReST,22,-1,-1,11,22,0.5,247.377,210.947,114.175,53.2863,0,0
00062.jpg,1719908344220,PuReST,28,-1,-1,16,28,0.571429,175.652,99.8628,8.55106,70.4063,0.657143,0.657143
00063.jpg,1719908344253,PuReST,32,-1,-1,22,32,0.6875,172.305,101.075,17.024,85.5518,0.828571,0.828571
00064.jpg,1719908344286,PuReST,33,-1,-1,24,33,0.727273,171.118,100.639,16.4325,90.0943,0.818182,0.818182
00065.jpg,1719908344319,PuReST,33,-1,-1,18,33,0.545455,173.864,101.895,19.4817,81.8526,0.757576,0.757576
00066.jpg,1719908344352,PuReST,33,-1,-1,18,33,0.545455,174.255,101.763,17.3327,81.8526,0.78125,0.78125
00067.jpg,1719908344385,PuReST,52,-1,-1,46,52,0.884615,173.996,101.311,135.151,154.082,0.571429,0.571429
00068.jpg,1719908344418,PuReST,34,-1,-1,28,34,0.823529,169.689,101.004,21.4683,97.6175,1,0.888889
00069.jpg,1719908344451,PuReST,37,-1,-1,26,37,0.702703,170.619,98.9905,4.03435,99.7158,0.888889,0.888889
00070.jpg,1719908344484,PuReST,31,-1,-1,20,31,0.645161,173.084,102.942,20.82,81.045,0.882353,0.882353
00071.jpg,1719908344517,PuReST,33,-1,-1,20,33,0.606061,173.121,102.092,16.9035,84.5091,0.911765,0.911765
00072.jpg,1719908344550,PuReST,33,-1,-1,16,33,0.484848,174.485,103.623,21.3917,79.3028,0.764706,0.764706
00073.jpg,1719908344583,PuReST,35,-1,-1,19,35,0.542857,174.02,101.784,17.7783,86.695,0.84375,0.84375
00074.jpg,1719908344616,PuReST,35,-1,-1,19,35,0.542857,174.02,101.784,17.7783,86.695,0.84375,0.84375
