filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719912355117,PuReST,18,-1,-1,17,18,0.944444,233.992,128.563,104.948,54.9891,1,1
00001.jpg,1719912355150,PuReST,19,-1,-1,14,19,0.736842,234.101,128.802,88.9311,52.1342,1,1
00002.jpg,1719912355183,PuReST,19,-1,-1,16,19,0.842105,234.404,128.055,83.6013,55.0789,1,1
00003.jpg,1719912355216,PuReST,19,-1,-1,16,19,0.842105,234.404,128.055,83.6013,55.0789,1,1
00004.jpg,1719912355249,PuReST,21,-1,-1,17,21,0.809524,233.544,127.739,71.6458,59.8557,1,1
00005.jpg,1719912355282,PuReST,20,-1,-1,17,20,0.85,233.148,127.711,76.836,58.215,1,1
00006.jpg,1719912355315,PuReST,19,-1,-1,17,19,0.894737,232.294,127.912,87.3164,56.5923,1,1
00007.jpg,1719912355348,PuReST,20,-1,-1,17,20,0.85,226.486,128.924,70.578,58.215,1,1
00008.jpg,1719912355381,PuReST,19,-1,-1,17,19,0.894737,226.497,128.977,77.2037,56.5923,1,1
00009.jpg,1719912355414,PuReST,26,-1,-1,20,26,0.769231,228.539,126.5,45.5232,72.5643,0.823529,0.823529
00010.jpg,1719912355447,PuReST,19,-1,-1,18,19,0.947368,226.456,128.859,64.5069,58.1301,1,1
00011.jpg,1719912355480,PuReST,20,-1,-1,17,20,0.85,226.516,129.008,68.2428,58.215,1,1
00012.jpg,1719912355513,PuReST,20,-1,-1,17,20,0.85,226.377,129.235,77.2838,58.215,1,1
00013.jpg,1719912355546,PuReST,20,-1,-1,17,20,0.85,226.444,128.944,68.8465,58.215,1,1
00014.jpg,1719912355579,PuReST,19,-1,-1,17,19,0.894737,226.663,129.039,59.4854,56.5923,1,1
00015.jpg,1719912355612,PuReST,20,-1,-1,17,20,0.85,227.464,129.496,78.3632,58.215,1,1
00016.jpg,1719912355645,PuReST,20,-1,-1,17,20,0.85,227.931,129.615,82.7235,58.215,1,1
00017.jpg,1719912355678,PuReST,20,-1,-1,17,20,0.85,228.307,129.589,75.1317,58.215,1,1
00018.jpg,1719912355711,PuReST,20,-1,-1,17,20,0.85,229.166,129.665,76.9664,58.215,1,1
00019.jpg,1719912355744,PuReST,19,-1,-1,17,19,0.894737,229.089,129.635,76.5659,56.5923,1,1
00020.jpg,1719912355777,PuReST,21,-1,-1,17,21,0.809524,230.743,129.761,74.5659,59.8557,1,1
00021.jpg,1719912355810,PuReST,28,-1,-1,19,28,0.678571,232.823,126.597,48.0857,74.5058,0.529412,0.529412
00022.jpg,1719912355843,PuReST,20,-1,-1,17,20,0.85,230.607,129.662,72.2249,58.215,1,1
00023.jpg,1719912355876,PuReST,20,-1,-1,17,20,0.85,230.607,129.662,72.2249,58.215,1,1
00024.jpg,1719912355909,PuReST,74,-1,-1,69,74,0.932432,216.824,123.939,55.5752,224.693,0.694444,0.694444
00025.jpg,1719912355942,PuReST,67,-1,-1,46,67,0.686567,207.362,117.053,41.977,179.036,0.705882,0.685714
00026.jpg,1719912355975,PuReST,17,-1,-1,13,17,0.764706,229.489,130.966,126.805,47.3336,0.84375,0.857143
00027.jpg,1719912356008,PuReST,20,-1,-1,16,20,0.8,231.245,128.609,65.0094,56.7233,1,1
00028.jpg,1719912356041,PuReST,20,-1,-1,17,20,0.85,291.555,81.3384,120.955,58.215,0.0588235,0.0588235
00029.jpg,1719912356074,PuReST,16,-1,-1,9,16,0.5625,185.047,154.059,33.8516,40.0434,0,0
00030.jpg,1719912356107,PuReST,19,-1,-1,17,19,0.894737,230.733,128.006,71.0487,56.5923,1,1
00031.jpg,1719912356140,PuReST,19,-1,-1,16,19,0.842105,230.448,128.261,69.1686,55.0789,1,1
00032.jpg,1719912356173,PuReST,19,-1,-1,16,19,0.842105,230.448,128.261,69.1686,55.0789,1,1
00033.jpg,1719912356206,PuReST,19,-1,-1,16,19,0.842105,229.937,128.145,73.511,55.0789,1,1
00034.jpg,1719912356239,PuReST,19,-1,-1,16,19,0.842105,229.595,128.157,74.1605,55.0789,1,1
00035.jpg,1719912356272,PuReST,20,-1,-1,16,20,0.8,229.508,128.147,76.9337,56.7233,1,1
00036.jpg,1719912356305,PuReST,19,-1,-1,16,19,0.842105,228.993,128.039,67.9006,55.0789,1,1
00037.jpg,1719912356338,PuReST,19,-1,-1,15,19,0.789474,228.239,128.036,74.8902,53.592,1,1
00038.jpg,1719912356371,PuReST,19,-1,-1,16,19,0.842105,228.113,128.219,69.4702,55.0789,1,1
00039.jpg,1719912356404,PuReST,19,-1,-1,16,19,0.842105,228.113,128.219,69.4702,55.0789,1,1
00040.jpg,1719912356437,PuReST,19,-1,-1,16,19,0.842105,228.104,128.262,67.3447,55.0789,1,1
00041.jpg,1719912356470,PuReST,20,-1,-1,16,20,0.8,228.648,128.161,72.9859,56.7233,1,1
00042.jpg,1719912356503,PuReST,19,-1,-1,16,19,0.842105,227.911,128.965,72.8464,55.0789,1,1
00043.jpg,1719912356536,PuReST,19,-1,-1,16,19,0.842105,227.911,128.965,72.8464,55.0789,1,1
00044.jpg,1719912356569,PuReST,20,-1,-1,16,20,0.8,228.434,129.102,74.0396,56.7233,1,1
00045.jpg,1719912356602,PuReST,19,-1,-1,17,19,0.894737,228.383,129.283,68.2388,56.5923,1,1
00046.jpg,1719912356635,PuReST,19,-1,-1,16,19,0.842105,229.049,129.138,72.9548,55.0789,1,1
00047.jpg,1719912356668,PuReST,19,-1,-1,16,19,0.842105,229.462,129.175,72.3213,55.0789,1,1
00048.jpg,1719912356701,PuReST,19,-1,-1,16,19,0.842105,229.519,129.214,75.3702,55.0789,1,1
00049.jpg,1719912356734,PuReST,19,-1,-1,16,19,0.842105,229.823,129.246,69.4687,55.0789,1,1
00050.jpg,1719912356767,PuReST,19,-1,-1,16,19,0.842105,229.823,129.246,69.4687,55.0789,1,1
00051.jpg,1719912356800,PuReST,21,-1,-1,16,21,0.761905,230.826,129.628,73.9225,58.3851,1,1
00052.jpg,1719912356833,PuReST,23,-1,-1,16,23,0.695652,230.06,129.711,74.9818,61.7554,1,1
00053.jpg,1719912356866,PuReST,22,-1,-1,16,22,0.727273,229.698,129.706,72.627,60.0629,1,1
00054.jpg,1719912356899,PuReST,20,-1,-1,17,20,0.85,228.643,129.972,66.3845,58.215,1,1
00055.jpg,1719912356932,PuReST,19,-1,-1,18,19,0.947368,228.588,129.664,69.5487,58.1301,1,1
00056.jpg,1719912356965,PuReST,19,-1,-1,17,19,0.894737,228.453,130.264,74.3493,56.5923,1,1
00057.jpg,1719912356998,PuReST,20,-1,-1,17,20,0.85,228.591,130.499,75.0823,58.215,1,1
00058.jpg,1719912357031,PuReST,20,-1,-1,17,20,0.85,228.591,130.499,75.0823,58.215,1,1
00059.jpg,1719912357064,PuReST,20,-1,-1,17,20,0.85,228.591,130.499,75.0823,58.215,1,1
00060.jpg,1719912357097,PuReST,20,-1,-1,17,20,0.85,229.012,129.826,69.0493,58.215,1,1
