Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,94,190.409,168.529,PuReST,0.861111
1,1,92,191.843,167.832,PuReST,0.861111
2,1,92,191.862,167.872,PuReST,0.861111
3,1,92,191.838,167.823,PuReST,0.861111
4,1,92,191.838,167.823,PuReST,0.861111
5,1,92,191.838,167.823,PuReST,0.861111
6,1,92,191.838,167.823,PuReST,0.861111
7,1,92,191.838,167.823,PuReST,0.861111
8,1,92,191.838,167.823,PuReST,0.861111
9,1,92,191.838,167.823,PuReST,0.861111
10,1,92,191.838,167.823,PuReST,0.861111
11,1,92,191.838,167.823,PuReST,0.861111
12,1,93,191.895,168.681,PuReST,0.888889
13,1,93,191.895,168.681,PuReST,0.888889
14,1,92,191.913,168.729,PuReST,0.888889
15,1,92,191.913,168.729,PuReST,0.888889
16,1,92,191.913,168.729,PuReST,0.888889
17,1,92,191.913,168.729,PuReST,0.888889
18,1,39,190.116,166.322,PuReST,1
19,1,37,188.986,168.382,PuReST,1
20,1,37,188.855,167.672,PuReST,1
21,1,36,188.727,167.506,PuReST,1
22,1,37,188.59,167.465,PuReST,1
23,1,36,188.864,167.315,PuReST,1
24,1,38,188.811,165.188,PuReST,1
25,1,37,189.167,165.393,PuReST,1
26,1,38,188.886,164.792,PuReST,1
27,1,34,189.076,165.639,PuReST,1
28,1,34,189.223,165.666,PuReST,1
29,1,33,189.36,165.322,PuReST,1
30,1,35,189.127,164.668,PuReST,1
31,1,35,189.595,164.355,PuReST,1
32,1,33,189.862,165.213,PuReST,1
33,1,31,190.489,165.908,PuReST,1
34,1,30,190.626,166.073,PuReST,1
35,1,30,190.814,165.971,PuReST,1
36,1,30,190.682,165.944,PuReST,1
37,1,30,190.935,165.439,PuReST,1
38,1,29,190.845,165.975,PuReST,1
39,1,29,190.538,165.699,PuReST,1
40,1,29,190.573,165.725,PuReST,1
41,1,29,190.555,165.872,PuReST,1
42,1,28,190.449,165.904,PuReST,1
43,1,29,190.225,165.88,PuReST,1
44,1,28,190.044,165.66,PuReST,1
45,1,28,189.847,165.867,PuReST,1
46,1,28,189.829,166.004,PuReST,1
47,1,28,189.829,166.004,PuReST,1
48,1,27,190.02,166.334,PuReST,1
49,1,27,189.901,166.35,PuReST,1
50,1,27,189.85,166.27,PuReST,1
51,1,27,189.849,166.257,PuReST,1
52,1,27,189.849,166.257,PuReST,1
53,1,26,189.586,165.935,PuReST,1
54,1,26,189.989,165.802,PuReST,1
55,1,26,189.915,165.918,PuReST,1
56,1,26,189.915,165.918,PuReST,1
57,1,26,189.915,165.918,PuReST,1
58,1,26,189.915,165.918,PuReST,1
59,1,26,189.915,165.918,PuReST,1
60,1,25,190.057,165.955,PuReST,1
61,1,25,189.679,165.797,PuReST,1
62,1,25,189.389,165.803,PuReST,1
63,1,25,189.28,165.848,PuReST,1
64,1,25,188.872,165.93,PuReST,1
65,1,25,189.002,165.867,PuReST,1
66,1,25,188.447,165.88,PuReST,1
67,1,25,188.34,166.041,PuReST,1
68,1,25,188.21,165.938,PuReST,1
69,1,25,188.381,165.917,PuReST,1
70,1,25,188.372,165.995,PuReST,1
71,1,25,188.502,166.072,PuReST,1
72,1,25,188.679,166.07,PuReST,1
73,1,25,188.761,166.133,PuReST,1
74,1,25,188.727,166.158,PuReST,1
75,1,25,188.608,166.249,PuReST,1
76,1,25,188.419,166.673,PuReST,1
77,1,25,188.373,166.786,PuReST,1
78,1,25,188.303,166.732,PuReST,1
79,1,26,188.238,166.708,PuReST,1
80,1,26,188.272,166.472,PuReST,1
81,1,25,188.245,166.467,PuReST,1
82,1,26,188.286,166.329,PuReST,1
83,1,25,188.245,166.467,PuReST,1
84,1,26,188.418,166.298,PuReST,1
85,1,26,188.173,166.953,PuReST,1
86,1,26,188.227,167.025,PuReST,1
87,1,26,188.209,167.008,PuReST,1
88,1,26,188.365,166.989,PuReST,1
89,1,26,188.365,166.989,PuReST,1
90,1,26,188.136,167.294,PuReST,1
91,1,26,188.279,167.048,PuReST,1
92,1,26,188.121,167.124,PuReST,1
93,1,26,187.993,167.147,PuReST,1
94,1,26,187.507,167.489,PuReST,1
95,1,26,187.458,167.407,PuReST,1
96,1,26,187.208,167.534,PuReST,1
97,1,26,187.288,167.481,PuReST,1
98,1,26,187.255,167.753,PuReST,1
99,1,26,187.358,167.789,PuReST,1
100,1,26,187.472,168.042,PuReST,1
101,1,26,187.601,168.031,PuReST,1
102,1,26,187.59,168.088,PuReST,1
103,1,26,187.57,168.066,PuReST,1
104,1,26,187.597,168.047,PuReST,1
105,1,26,187.566,167.731,PuReST,1
106,1,26,187.629,167.762,PuReST,1
107,1,26,187.996,167.938,PuReST,1
108,1,26,188.28,167.94,PuReST,1
109,1,26,188.056,168.062,PuReST,1
110,1,26,187.903,168.253,PuReST,1
111,1,26,187.975,167.899,PuReST,1
112,1,26,187.953,167.85,PuReST,1
113,1,26,187.953,167.85,PuReST,1
114,1,26,187.953,167.85,PuReST,1
115,1,26,187.882,167.872,PuReST,1
116,1,26,187.882,167.872,PuReST,1
117,1,26,187.805,168.455,PuReST,1
118,1,25,187.884,168.612,PuReST,1
119,1,26,187.906,168.617,PuReST,1
120,1,26,187.809,168.524,PuReST,1
121,1,26,188.377,168.518,PuReST,1
122,1,26,188.808,168.776,PuReST,1
123,1,26,188.777,168.565,PuReST,1
124,1,26,188.712,168.442,PuReST,1
125,1,26,188.733,168.342,PuReST,1
126,1,26,188.686,168.369,PuReST,1
127,1,26,188.471,168.327,PuReST,1
128,1,26,188.583,167.998,PuReST,1
129,1,26,188.495,167.996,PuReST,1
130,1,26,187.984,168.36,PuReST,1
131,1,27,188.246,168.148,PuReST,1
132,1,26,188.385,168.01,PuReST,1
133,1,27,188.286,168.115,PuReST,1
134,1,27,188.215,168.069,PuReST,1
135,1,27,187.98,169.207,PuReST,1
136,1,27,188.002,169.169,PuReST,1
137,1,28,188.13,169.276,PuReST,1
138,1,28,188.253,169.377,PuReST,1
139,1,28,188.464,169.924,PuReST,1
140,1,28,188.218,170.569,PuReST,1
141,1,29,188.288,170.533,PuReST,1
142,1,28,188.515,170.341,PuReST,1
143,1,28,188.594,170.077,PuReST,1
144,1,28,188.669,170.072,PuReST,1
145,1,28,188.939,169.881,PuReST,1
146,1,28,188.938,169.944,PuReST,1
147,1,28,188.857,169.972,PuReST,1
148,1,28,188.857,169.972,PuReST,1
149,1,28,188.92,169.908,PuReST,1
150,1,28,188.943,170.003,PuReST,1
151,1,28,189.123,170.131,PuReST,1
152,1,29,188.967,170.389,PuReST,1
153,1,29,188.85,170.385,PuReST,1
154,1,29,188.808,170.419,PuReST,1
155,1,29,188.599,170.577,PuReST,1
156,1,29,188.502,170.608,PuReST,1
157,1,30,188.362,170.98,PuReST,1
158,1,30,188.413,171.285,PuReST,1
159,1,30,188.34,171.349,PuReST,1
160,1,31,188.553,171.248,PuReST,1
161,1,31,188.519,171.324,PuReST,1
162,1,30,188.789,171.68,PuReST,1
163,1,31,188.745,171.288,PuReST,1
164,1,31,188.636,171.489,PuReST,1
165,1,33,188.246,172.604,PuReST,1
166,1,33,188.224,172.505,PuReST,1
167,1,81,110.399,163.586,PuReST,0
168,1,32,188.53,170.169,PuReST,1
169,1,33,188.362,169.687,PuReST,1
170,1,33,188.345,169.417,PuReST,1
171,1,30,188.601,170.813,PuReST,1
172,1,30,188.036,170.509,PuReST,1
173,1,31,188.214,170.638,PuReST,1
174,1,31,188.3,169.752,PuReST,1
175,1,29,188.737,170.803,PuReST,1
176,1,28,188.737,170.714,PuReST,1
177,1,28,188.868,170.739,PuReST,1
178,1,28,188.955,170.597,PuReST,1
179,1,28,188.955,170.597,PuReST,1
180,1,28,188.997,170.62,PuReST,1
181,1,28,189.059,170.573,PuReST,1
182,1,27,188.583,171.175,PuReST,1
183,1,27,188.604,171.137,PuReST,1
184,1,27,188.51,171.104,PuReST,1
185,1,27,188.112,171.238,PuReST,1
186,1,26,188.099,171.182,PuReST,1
187,1,26,187.793,171.642,PuReST,1
188,1,26,187.873,171.406,PuReST,1
189,1,27,187.638,171.492,PuReST,1
190,1,27,187.76,171.507,PuReST,1
191,1,26,187.808,171.699,PuReST,1
192,1,26,187.842,171.694,PuReST,1
193,1,27,187.772,171.466,PuReST,1
194,1,27,187.693,171.745,PuReST,1
195,1,25,189.013,170.047,PuReST,1
196,1,26,187.735,171.666,PuReST,1
197,1,27,187.772,171.466,PuReST,1
198,1,27,187.693,171.745,PuReST,1
199,1,25,189.013,170.047,PuReST,1
200,1,26,187.735,171.666,PuReST,1
201,1,27,187.772,171.466,PuReST,1
202,1,27,187.693,171.745,PuReST,1
203,1,25,189.013,170.047,PuReST,1
204,1,26,187.668,171.855,PuReST,1
205,1,27,187.671,171.708,PuReST,1
206,1,26,187.717,171.739,PuReST,1
207,1,27,187.92,172.122,PuReST,1
208,1,27,187.934,172.193,PuReST,1
209,1,27,187.934,172.193,PuReST,1
210,1,22,186.948,172.311,PuReST,1
211,1,22,187.098,172.346,PuReST,1
212,1,22,186.782,172.207,PuReST,1
213,1,22,186.501,172.295,PuReST,1
214,1,22,186.619,172.302,PuReST,1
215,1,22,186.776,172.66,PuReST,1
216,1,22,186.886,172.501,PuReST,1
217,1,21,186.936,172.646,PuReST,1
218,1,21,187.046,172.451,PuReST,1
219,1,21,187.049,172.469,PuReST,1
220,1,21,187.582,171.835,PuReST,1
221,1,22,186.941,171.918,PuReST,1
222,1,21,187.117,171.817,PuReST,1
223,1,21,187.417,171.801,PuReST,1
224,1,21,187.417,171.801,PuReST,1
225,1,21,187.496,171.771,PuReST,1
226,1,21,187.496,171.771,PuReST,1
227,1,21,187.984,171.62,PuReST,1
228,1,21,188.25,171.452,PuReST,1
229,1,21,188.28,171.353,PuReST,1
230,1,21,188.28,171.353,PuReST,1
231,1,22,188.054,170.994,PuReST,1
232,1,21,188.091,170.656,PuReST,1
233,1,22,188.254,170.66,PuReST,1
234,1,21,188.116,170.606,PuReST,1
235,1,21,188.231,170.337,PuReST,1
236,1,21,188.226,170.352,PuReST,1
237,1,21,188.16,170.469,PuReST,1
238,1,22,188.179,170.456,PuReST,1
239,1,21,188.07,170.575,PuReST,1
240,1,22,187.414,170.539,PuReST,1
241,1,22,187.751,170.829,PuReST,1
242,1,21,187.563,171.047,PuReST,1
243,1,22,187.447,171.599,PuReST,1
244,1,21,187.518,171.611,PuReST,1
245,1,22,187.559,171.567,PuReST,1
246,1,22,187.501,171.829,PuReST,1
247,1,21,187.664,171.699,PuReST,1
248,1,22,187.549,171.525,PuReST,1
249,1,21,187.927,171.326,PuReST,1
250,1,22,187.888,171.038,PuReST,1
251,1,22,187.874,171.145,PuReST,1
252,1,22,187.821,171.086,PuReST,1
253,1,22,187.822,171.036,PuReST,1
254,1,23,187.845,171.103,PuReST,1
255,1,22,188.031,171.52,PuReST,1
256,1,23,188.089,171.445,PuReST,1
257,1,24,187.912,171.853,PuReST,1
258,1,23,187.912,171.994,PuReST,1
259,1,24,187.635,171.86,PuReST,1
260,1,24,187.458,171.486,PuReST,1
261,1,23,187.846,172.037,PuReST,1
262,1,25,187.137,172.055,PuReST,1
263,1,24,186.895,171.999,PuReST,1
264,1,25,186.836,171.714,PuReST,1
265,1,25,186.996,171.644,PuReST,1
266,1,25,187.321,171.983,PuReST,1
267,1,25,187.839,172.059,PuReST,1
268,1,25,187.705,172.125,PuReST,1
269,1,25,187.632,172.322,PuReST,1
270,1,25,187.653,172.374,PuReST,1
271,1,25,187.574,172.352,PuReST,1
272,1,25,187.614,172.407,PuReST,1
273,1,24,187.346,172.518,PuReST,1
274,1,24,187.419,172.03,PuReST,1
275,1,24,187.307,172.288,PuReST,1
276,1,24,187.356,172.176,PuReST,1
277,1,24,187.196,172.54,PuReST,1
278,1,24,187.166,172.839,PuReST,1
