Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,103,210.17,154.622,PuReST,0.861111
1,1,95,206.354,150.685,PuReST,1
2,1,95,206.908,149.365,PuReST,0.972222
3,1,104,210.359,155.103,PuReST,0.742857
4,1,96,206.208,150.542,PuReST,0.944444
5,1,96,206.502,151.524,PuReST,0.944444
6,1,97,206.755,151.413,PuReST,0.972222
7,1,96,206.274,151.14,PuReST,1
8,1,96,206.502,151.524,PuReST,0.944444
9,1,95,206.664,151.201,PuReST,1
10,1,106,210.89,155.626,PuReST,0.676471
11,1,95,206.721,150.591,PuReST,0.972222
12,1,71,208.081,122.113,PuReST,0.735294
13,1,57,208.327,151.013,PuReST,0.944444
14,1,56,208.17,150.941,PuReST,0.882353
15,1,57,207.953,151.047,PuReST,0.882353
16,1,56,208.17,150.941,PuReST,0.882353
17,1,57,207.953,151.047,PuReST,0.882353
18,1,56,208.214,150.805,PuReST,0.944444
19,1,57,208.021,150.912,PuReST,0.944444
20,1,42,205.833,152.415,PuReST,1
21,1,41,207.76,151.438,PuReST,1
22,1,41,206.342,152.795,PuReST,1
23,1,40,207.236,151.379,PuReST,1
24,1,41,206.366,151.803,PuReST,1
25,1,40,207.387,151.487,PuReST,1
26,1,41,205.944,151.305,PuReST,1
27,1,38,206.232,153.321,PuReST,1
28,1,39,207.189,151.652,PuReST,1
29,1,39,207.282,151.541,PuReST,1
30,1,38,206.651,152.632,PuReST,1
31,1,40,207.22,150.657,PuReST,1
32,1,39,207.275,151.747,PuReST,1
33,1,38,206.01,152.269,PuReST,1
34,1,38,207.678,151.537,PuReST,1
35,1,38,206.878,151.765,PuReST,1
36,1,37,206.815,151.706,PuReST,1
37,1,38,207.126,151.523,PuReST,1
38,1,37,207.253,151.632,PuReST,1
39,1,37,207.163,151.952,PuReST,1
40,1,38,207.225,151.582,PuReST,1
41,1,36,206.927,151.613,PuReST,1
42,1,39,207.128,149.979,PuReST,1
43,1,37,207.505,150.509,PuReST,1
44,1,37,208.097,149.589,PuReST,1
45,1,36,209.309,149.55,PuReST,1
46,1,37,209.395,149.662,PuReST,1
47,1,35,209.264,149.5,PuReST,1
48,1,36,209.331,149.576,PuReST,1
49,1,35,208.891,149.567,PuReST,1
50,1,36,209.401,149.646,PuReST,1
51,1,35,208.938,149.642,PuReST,1
52,1,35,209.091,149.85,PuReST,1
53,1,35,209.382,149.913,PuReST,1
54,1,35,209.231,149.874,PuReST,1
55,1,35,209.339,150.141,PuReST,1
56,1,35,209.548,150.544,PuReST,1
57,1,36,209.601,150.769,PuReST,1
58,1,35,209.603,150.807,PuReST,1
59,1,35,209.583,150.625,PuReST,1
60,1,35,209.33,150.569,PuReST,1
61,1,35,210.188,150.811,PuReST,1
62,1,35,210.112,150.828,PuReST,1
63,1,35,210.112,150.828,PuReST,1
64,1,35,210.414,150.825,PuReST,1
65,1,35,210.336,150.86,PuReST,1
66,1,35,210.336,150.86,PuReST,1
67,1,35,210.344,150.851,PuReST,1
68,1,34,210.52,150.956,PuReST,1
69,1,34,210.159,150.833,PuReST,1
70,1,35,210.361,150.729,PuReST,1
71,1,34,210.584,150.862,PuReST,1
72,1,34,210.426,150.704,PuReST,1
73,1,34,210.668,150.782,PuReST,1
74,1,34,210.551,150.737,PuReST,1
75,1,35,211.076,150.733,PuReST,1
76,1,34,210.908,150.463,PuReST,1
77,1,34,210.987,150.533,PuReST,1
78,1,33,210.248,152.054,PuReST,1
79,1,33,210.946,150.52,PuReST,1
80,1,34,211.355,150.602,PuReST,1
81,1,34,211.034,151.321,PuReST,1
82,1,34,211.23,150.825,PuReST,1
83,1,34,211.23,150.825,PuReST,1
84,1,34,211.298,150.868,PuReST,1
85,1,34,211.24,150.936,PuReST,1
86,1,34,211.405,151.065,PuReST,1
87,1,34,211.405,151.065,PuReST,1
88,1,34,211.339,151.028,PuReST,1
89,1,34,211.146,151.309,PuReST,1
90,1,34,211.366,151.086,PuReST,1
91,1,34,211.31,151.149,PuReST,1
92,1,34,211.576,151.012,PuReST,1
93,1,34,211.503,151.116,PuReST,1
94,1,34,211.332,150.95,PuReST,1
95,1,34,211.484,150.984,PuReST,1
96,1,34,211.564,150.968,PuReST,1
97,1,34,211.558,150.964,PuReST,1
98,1,34,211.489,150.861,PuReST,1
99,1,34,211.653,150.893,PuReST,1
100,1,34,211.444,150.911,PuReST,1
101,1,34,211.701,150.751,PuReST,1
102,1,34,211.693,150.824,PuReST,1
103,1,35,212.068,151.264,PuReST,1
104,1,34,211.465,151.265,PuReST,1
105,1,35,211.585,151.508,PuReST,1
106,1,35,211.639,151.472,PuReST,1
107,1,34,210.485,152.876,PuReST,1
108,1,35,211.428,151.268,PuReST,1
109,1,35,211.427,151.143,PuReST,1
110,1,35,211.427,151.143,PuReST,1
111,1,35,211.552,151.212,PuReST,1
112,1,36,211.2,149.715,PuReST,1
113,1,36,210.263,148.433,PuReST,1
114,1,36,210.029,147.814,PuReST,1
115,1,36,210.029,147.814,PuReST,1
116,1,36,210.137,147.827,PuReST,1
117,1,35,210.26,147.241,PuReST,1
118,1,35,209.95,146.811,PuReST,1
119,1,35,210.048,147.103,PuReST,1
120,1,35,210.777,151.433,PuReST,1
121,1,34,210.216,151.373,PuReST,1
122,1,34,210.507,150.964,PuReST,1
123,1,34,210.565,150.532,PuReST,1
124,1,35,210.893,150.537,PuReST,1
125,1,36,210.953,150.42,PuReST,1
126,1,35,210.65,150.308,PuReST,1
127,1,36,210.819,150.657,PuReST,1
128,1,35,210.513,150.43,PuReST,1
129,1,36,210.974,150.741,PuReST,1
130,1,34,211.247,150.482,PuReST,1
131,1,35,211.471,150.52,PuReST,1
132,1,34,211.663,150.744,PuReST,1
133,1,35,211.506,150.669,PuReST,1
134,1,35,211.503,150.717,PuReST,1
135,1,35,211.446,150.777,PuReST,1
136,1,35,211.849,150.856,PuReST,1
137,1,34,211.631,151.12,PuReST,1
138,1,35,211.324,151.2,PuReST,1
139,1,34,211.389,150.969,PuReST,1
140,1,34,211.26,150.944,PuReST,1
141,1,34,211.737,150.673,PuReST,1
142,1,35,212.085,150.787,PuReST,1
143,1,35,211.657,150.413,PuReST,1
144,1,35,211.87,150.226,PuReST,1
145,1,36,212.385,149.887,PuReST,1
146,1,35,212.2,150.082,PuReST,1
147,1,36,212.385,149.887,PuReST,1
148,1,34,211.533,149.918,PuReST,1
149,1,35,211.786,150.164,PuReST,1
150,1,35,211.54,150.74,PuReST,1
151,1,34,212.087,150.411,PuReST,1
152,1,35,212.502,150.31,PuReST,1
153,1,35,212.51,150.181,PuReST,1
154,1,35,212.698,150.523,PuReST,1
155,1,36,212.849,150.9,PuReST,1
156,1,36,212.658,151.026,PuReST,1
157,1,36,212.213,151.255,PuReST,1
158,1,37,212.675,151.638,PuReST,1
159,1,37,212.544,151.758,PuReST,0.971429
160,1,38,212.007,151.812,PuReST,1
161,1,38,212.032,152.065,PuReST,1
162,1,38,211.887,152.007,PuReST,1
163,1,38,212.091,151.947,PuReST,1
164,1,39,210.499,152.166,PuReST,1
165,1,39,212.164,151.68,PuReST,0.972222
166,1,39,211.743,151.761,PuReST,1
167,1,39,211.229,152.111,PuReST,1
168,1,38,210.77,152.041,PuReST,1
169,1,38,210.754,152.082,PuReST,1
170,1,38,210.72,152.124,PuReST,1
171,1,38,210.72,152.124,PuReST,1
172,1,38,210.678,152.319,PuReST,1
173,1,38,210.77,152.25,PuReST,1
174,1,38,210.682,152.051,PuReST,1
175,1,38,210.716,151.63,PuReST,1
176,1,38,210.798,151.529,PuReST,1
177,1,38,211.085,151.233,PuReST,1
178,1,38,210.887,151.309,PuReST,1
179,1,37,210.614,151.501,PuReST,1
180,1,39,211.259,151.655,PuReST,1
181,1,38,210.693,151.566,PuReST,1
182,1,38,210.969,151.707,PuReST,1
183,1,38,210.316,152.044,PuReST,1
184,1,37,210.098,152.301,PuReST,1
185,1,37,209.971,152.096,PuReST,1
186,1,37,210.14,152.287,PuReST,1
187,1,37,210.109,152.487,PuReST,1
188,1,37,210.109,152.487,PuReST,1
189,1,37,210.659,152.163,PuReST,1
190,1,37,210.499,152.125,PuReST,1
191,1,37,210.593,152.15,PuReST,1
192,1,37,210.575,152.123,PuReST,1
193,1,37,210.575,152.123,PuReST,1
194,1,37,211.324,152.145,PuReST,1
195,1,37,211.324,152.145,PuReST,1
196,1,36,211.206,151.724,PuReST,1
197,1,37,211.359,151.688,PuReST,1
198,1,37,211.036,152.329,PuReST,1
199,1,37,211.036,152.329,PuReST,1
200,1,37,211.036,152.329,PuReST,1
201,1,37,210.881,152.197,PuReST,1
202,1,37,210.861,152.211,PuReST,1
203,1,37,210.861,152.211,PuReST,1
204,1,37,210.867,152.185,PuReST,1
205,1,37,210.867,152.185,PuReST,1
206,1,37,210.867,152.185,PuReST,1
207,1,37,210.867,152.185,PuReST,1
208,1,37,210.867,152.185,PuReST,1
209,1,37,210.867,152.185,PuReST,1
210,1,37,210.867,152.185,PuReST,1
211,1,37,210.867,152.185,PuReST,1
212,1,37,210.867,152.185,PuReST,1
213,1,37,210.867,152.185,PuReST,1
214,1,37,210.927,152.212,PuReST,1
215,1,37,210.881,152.239,PuReST,1
216,1,37,210.852,152.391,PuReST,1
217,1,37,210.863,152.563,PuReST,1
218,1,31,210.961,150.622,PuReST,1
219,1,31,210.957,150.736,PuReST,1
220,1,31,210.756,151.425,PuReST,1
221,1,30,210.95,151.525,PuReST,1
222,1,31,210.868,151.362,PuReST,1
223,1,30,211.155,151.283,PuReST,1
224,1,31,211.412,151.166,PuReST,1
225,1,30,211.244,151.24,PuReST,1
226,1,31,211.514,151.223,PuReST,1
227,1,31,211.803,151.11,PuReST,1
228,1,30,210.624,152.563,PuReST,1
229,1,31,211.464,150.922,PuReST,1
230,1,31,211.397,151.039,PuReST,1
231,1,31,211.397,151.039,PuReST,1
232,1,30,211.427,151.038,PuReST,1
233,1,31,211.876,150.892,PuReST,1
234,1,31,211.621,150.875,PuReST,1
235,1,30,211.533,150.709,PuReST,1
236,1,30,211.551,150.602,PuReST,1
237,1,30,211.441,150.389,PuReST,1
238,1,30,211.603,150.55,PuReST,1
239,1,30,211.403,150.474,PuReST,1
240,1,31,211.349,150.512,PuReST,1
241,1,30,210.865,150.49,PuReST,1
242,1,30,211.551,150.46,PuReST,1
243,1,30,211.512,150.455,PuReST,1
244,1,30,211.508,150.457,PuReST,1
245,1,30,211.661,150.419,PuReST,1
246,1,30,211.661,150.419,PuReST,1
247,1,30,211.646,150.417,PuReST,1
248,1,30,211.646,150.417,PuReST,1
249,1,30,212.626,148.609,PuReST,1
250,1,31,212.952,148.518,PuReST,1
251,1,30,217.47,137.423,PuReST,0.911765
252,1,31,217.848,133.212,PuReST,0.882353
253,1,32,217.744,132.821,PuReST,0.882353
254,1,32,218.068,132.807,PuReST,0.882353
255,1,32,218.084,132.378,PuReST,0.878788
256,1,32,217.784,132.444,PuReST,0.911765
257,1,32,217.819,132.387,PuReST,0.914286
258,1,32,218.198,132.546,PuReST,0.911765
259,1,32,218.19,132.586,PuReST,0.911765
260,1,45,222.798,134.125,PuReST,0.911765
261,1,32,218.909,132.494,PuReST,0.914286
