Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,65,183.3,178.426,PuReST,0.911765
1,1,64,183.01,177.793,PuReST,0.911765
2,1,65,183.185,178.131,PuReST,0.944444
3,1,64,183.211,177.734,PuReST,0.914286
4,1,65,183.668,178.269,PuReST,0.944444
5,1,65,183.886,178.342,PuReST,0.914286
6,1,65,183.738,178.203,PuReST,0.944444
7,1,65,183.833,178.314,PuReST,0.90625
8,1,64,183.975,179.059,PuReST,0.944444
9,1,65,183.971,178.87,PuReST,0.944444
10,1,65,184.285,178.992,PuReST,0.90625
11,1,64,184.192,177.524,PuReST,0.916667
12,1,63,183.866,177.421,PuReST,0.916667
13,1,65,184.089,177.899,PuReST,0.914286
14,1,65,183.981,178.183,PuReST,0.944444
15,1,65,183.763,178.292,PuReST,0.944444
16,1,65,183.705,178.37,PuReST,0.972222
17,1,65,183.686,178.244,PuReST,0.972222
18,1,65,183.758,177.819,PuReST,0.972222
19,1,65,183.756,177.832,PuReST,0.972222
20,1,64,183.79,177.405,PuReST,0.944444
21,1,64,183.618,177.386,PuReST,0.916667
22,1,64,183.817,177.382,PuReST,0.944444
23,1,64,183.835,177.461,PuReST,0.944444
24,1,64,183.903,177.5,PuReST,0.944444
25,1,64,183.853,177.537,PuReST,0.944444
26,1,65,183.978,177.87,PuReST,0.944444
27,1,63,183.917,177.184,PuReST,0.916667
28,1,65,184.227,177.933,PuReST,0.909091
29,1,65,184.19,178.007,PuReST,0.944444
30,1,63,185.207,177.259,PuReST,0.972222
31,1,63,185.579,177.834,PuReST,0.944444
32,1,65,185.754,178.506,PuReST,0.944444
33,1,65,186.047,178.611,PuReST,0.944444
34,1,63,185.901,177.701,PuReST,0.972222
35,1,64,186.415,178.42,PuReST,0.944444
36,1,65,186.993,179.05,PuReST,0.942857
37,1,65,186.33,178.402,PuReST,0.941176
38,1,65,186.596,178.513,PuReST,0.941176
39,1,65,186.289,178.378,PuReST,0.972222
40,1,63,185.968,177.219,PuReST,0.944444
41,1,64,186.608,177.753,PuReST,0.944444
42,1,65,186.51,178.184,PuReST,0.972222
43,1,65,186.69,178.059,PuReST,0.944444
44,1,65,186.715,178.03,PuReST,0.944444
