filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719913582860,PuReST,30,-1,-1,15,30,0.5,228.312,208.784,178.395,72.6632,0.030303,0.030303
00001.jpg,1719913582893,PuReST,60,-1,-1,31,60,0.516667,243.796,210.381,73.9111,146.595,0.0294118,0.0294118
00002.jpg,1719913582926,PuReST,39,-1,-1,18,39,0.461538,226.82,212.658,5.83568,92.5999,0.030303,0.030303
00003.jpg,1719913582959,PuReST,37,-1,-1,9,37,0.243243,258.376,198.1,101.863,79.1122,0.147059,0.147059
00004.jpg,1719913582992,PuReST,23,-1,-1,10,23,0.434783,245.288,201.384,130.935,53.8673,0.030303,0.030303
00005.jpg,1719913583025,PuReST,19,-1,-1,12,19,0.631579,243.425,201.237,127.318,49.3174,0.125,0.125
00006.jpg,1719913583058,PuReST,31,-1,-1,17,31,0.548387,255.512,202.344,90.5422,77.0104,0.09375,0.09375
00007.jpg,1719913583091,PuReST,36,-1,-1,26,36,0.722222,254.855,206.098,89.3235,98.0238,0.09375,0.09375
00008.jpg,1719913583124,PuReST,41,-1,-1,20,41,0.487805,212.042,171.101,9.4602,98.6789,0.176471,0.176471
00009.jpg,1719913583157,PuReST,35,-1,-1,25,35,0.714286,170.503,170.07,60.1043,94.9034,0.545455,0.545455
00010.jpg,1719913583190,PuReST,27,-1,-1,11,27,0.407407,240.368,199.53,106.243,62.3658,0.0909091,0.0909091
00011.jpg,1719913583223,PuReST,30,-1,-1,14,30,0.466667,236.916,200.546,93.9709,71.419,0.15625,0.15625
00012.jpg,1719913583256,PuReST,50,-1,-1,42,50,0.84,254.709,216.936,4.55484,144.787,0.138889,0.138889
00013.jpg,1719913583289,PuReST,37,-1,-1,12,37,0.324324,222.028,78.6194,82.1322,82.0622,0.117647,0.117647
00014.jpg,1719913583322,PuReST,43,-1,-1,33,43,0.767442,258.61,212.431,159.36,119.898,0.111111,0.0555556
00015.jpg,1719913583355,PuReST,23,-1,-1,13,23,0.565217,229.53,204.734,166.575,57.6448,0.181818,0.181818
00016.jpg,1719913583388,PuReST,17,-1,-1,4,17,0.235294,244.048,197.19,105.856,36.2266,0,0
00017.jpg,1719913583421,PuReST,14,-1,-1,5,14,0.357143,84.2464,151.326,63.6068,31.5434,0,0
00018.jpg,1719913583454,PuReST,65,-1,-1,25,65,0.384615,116.4,115.694,52.7763,148.441,0.222222,0.222222
00019.jpg,1719913583487,PuReST,15,-1,-1,7,15,0.466667,70.6418,100.801,23.1215,35.7095,0.1,0.1
00020.jpg,1719913583520,PuReST,18,-1,-1,5,18,0.277778,90.1801,145.193,82.0067,39.0738,0,0
00021.jpg,1719913583553,PuReST,24,-1,-1,20,24,0.833333,124.951,98.4135,0,69.2579,0.53125,0.53125
00022.jpg,1719913583586,PuReST,21,-1,-1,6,21,0.285714,95.3663,135.722,95.2175,45.7497,0,0
00023.jpg,1719913583619,PuReST,43,-1,-1,18,43,0.418605,203.597,197.739,115.081,99.8853,0.0882353,0.0882353
00024.jpg,1719913583652,PuReST,33,-1,-1,15,33,0.454545,75.8319,166.617,62.7617,78.0727,0.176471,0.176471
00025.jpg,1719913583685,PuReST,47,-1,-1,21,47,0.446809,204.513,194.005,127.464,110.754,0.181818,0.181818
00026.jpg,1719913583718,PuReST,24,-1,-1,13,24,0.541667,228.594,207.045,176.116,59.4109,0.121212,0.121212
00027.jpg,1719913583751,PuReST,47,-1,-1,35,47,0.744681,258.455,214.39,140.532,129.496,0.117647,0.117647
00028.jpg,1719913583784,PuReST,47,-1,-1,34,47,0.723404,258.508,214.116,138.255,128.055,0.142857,0.142857
00029.jpg,1719913583817,PuReST,-1,-1,-1,-1,-1,1,62,67,-1,-1,-1,-1
