filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719913837367,PuReST,36,-1,-1,15,36,0.416667,230.36,197.256,3.98007,83.5431,0.5,0.5
00001.jpg,1719913837400,PuReST,81,-1,-1,44,81,0.54321,200.803,183.281,87.361,200.674,0.805556,0.805556
00002.jpg,1719913837433,PuReST,100,-1,-1,61,100,0.61,192.132,193.036,74.5563,256.622,1,1
00003.jpg,1719913837466,PuReST,87,-1,-1,59,87,0.678161,197.509,190.165,80.7995,231.45,1,0.972222
00004.jpg,1719913837499,PuReST,86,-1,-1,61,86,0.709302,198.274,190.599,79.9401,232.58,1,1
00005.jpg,1719913837532,PuReST,92,-1,-1,59,92,0.641304,188.703,194.598,78.2159,240.031,1,1
00006.jpg,1719913837565,PuReST,85,-1,-1,62,85,0.729412,198.734,190.495,80.4793,232.322,1,1
00007.jpg,1719913837598,PuReST,86,-1,-1,63,86,0.732558,198.116,190.771,78.3392,235.445,1,1
00008.jpg,1719913837631,PuReST,84,-1,-1,63,84,0.75,198.435,190.617,80.097,232.087,1,1
00009.jpg,1719913837664,PuReST,87,-1,-1,63,87,0.724138,198.834,190.692,82.4548,237.13,1,1
00010.jpg,1719913837697,PuReST,84,-1,-1,63,84,0.75,198.863,190.824,77.3996,232.087,1,1
00011.jpg,1719913837730,PuReST,86,-1,-1,63,86,0.732558,199.522,190.455,79.6379,235.445,1,1
00012.jpg,1719913837763,PuReST,102,-1,-1,60,102,0.588235,192.259,191.972,76.0721,258.763,1,0.972222
00013.jpg,1719913837796,PuReST,101,-1,-1,64,101,0.633663,192.402,193.699,73.8928,262.45,1,1
00014.jpg,1719913837829,PuReST,101,-1,-1,63,101,0.623762,192.317,192.724,75.458,261.08,0.970588,1
00015.jpg,1719913837862,PuReST,101,-1,-1,65,101,0.643564,193.012,193.815,75.3274,263.827,1,1
00016.jpg,1719913837895,PuReST,102,-1,-1,61,102,0.598039,193.975,191.598,79.8451,260.106,0.971429,0.972222
00017.jpg,1719913837928,PuReST,75,-1,-1,67,75,0.893333,193.158,189.92,83.7096,223.23,1,0.972222
00018.jpg,1719913837961,PuReST,88,-1,-1,61,88,0.693182,197.582,190.591,82.8021,235.974,1,1
