Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,101,231.01,165.799,PuReST,0.972222
1,1,61,229.878,165.435,PuReST,0.911765
2,1,47,229.305,149.951,PuReST,0.666667
3,1,95,226.921,163.733,PuReST,1
4,1,95,226.926,163.984,PuReST,1
5,1,100,229.977,166.963,PuReST,0.916667
6,1,60,226.353,169.915,PuReST,0.857143
7,1,103,231.454,168.156,PuReST,0.805556
8,1,94,226.689,162.529,PuReST,0.972222
9,1,95,226.872,162.833,PuReST,0.972222
10,1,88,221.849,161.393,PuReST,0.944444
11,1,99,228.679,166.161,PuReST,0.941176
12,1,100,229.276,166.039,PuReST,0.914286
13,1,98,227.674,165.169,PuReST,0.972222
14,1,87,226.109,156.424,PuReST,0.878788
15,1,95,225.951,163.511,PuReST,0.972222
16,1,99,228.587,168.367,PuReST,0.970588
17,1,93,226.967,161.242,PuReST,0.939394
18,1,95,226.034,165.007,PuReST,0.972222
19,1,92,224.234,163.238,PuReST,0.970588
20,1,96,226.17,163.964,PuReST,1
21,1,101,230.455,166.244,PuReST,0.888889
22,1,60,225.743,170.467,PuReST,0.888889
23,1,62,232.935,163.58,PuReST,0.942857
24,1,88,218.353,171.012,PuReST,0.777778
25,1,60,230.195,164.891,PuReST,0.942857
26,1,102,227.846,164.78,PuReST,0.96875
27,1,96,226.748,158.107,PuReST,0.944444
28,1,59,224.408,171.982,PuReST,0.828571
29,1,57,227.906,157.889,PuReST,0.833333
30,1,103,228.953,169.92,PuReST,0.777778
31,1,109,232.379,172.277,PuReST,0.588235
32,1,98,224.99,162.136,PuReST,1
33,1,93,227.993,158.4,PuReST,0.9375
34,1,95,224.957,159.803,PuReST,1
35,1,94,226.628,161.091,PuReST,0.916667
36,1,96,227.153,164.23,PuReST,1
37,1,97,225.003,163.15,PuReST,0.970588
38,1,96,225.478,162.457,PuReST,0.971429
39,1,62,229.796,164.538,PuReST,0.914286
40,1,57,227.954,156.135,PuReST,0.848485
41,1,102,230.49,164.784,PuReST,0.916667
42,1,91,228.462,158.535,PuReST,0.888889
43,1,97,228.279,167.05,PuReST,0.972222
44,1,100,228.681,168.949,PuReST,0.970588
