Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,38,219.687,166.406,PuReST,1
1,1,38,219.746,166.566,PuReST,1
2,1,38,219.739,166.442,PuReST,1
3,1,38,219.768,166.541,PuReST,1
4,1,37,219.895,166.604,PuReST,1
5,1,36,220.565,166.338,PuReST,1
6,1,35,220.139,166.431,PuReST,1
7,1,33,219.953,166.696,PuReST,1
8,1,31,219.827,166.324,PuReST,1
9,1,30,219.903,166.715,PuReST,1
10,1,29,219.992,166.361,PuReST,1
11,1,28,219.933,166.356,PuReST,1
12,1,27,219.857,166.307,PuReST,1
13,1,26,219.951,166.361,PuReST,1
14,1,25,220.314,165.664,PuReST,1
15,1,25,220.708,166.038,PuReST,1
16,1,25,220.61,165.725,PuReST,1
17,1,24,220.428,165.868,PuReST,1
18,1,24,220.283,166.324,PuReST,1
19,1,23,220.644,166.432,PuReST,1
20,1,23,220.197,166.441,PuReST,1
21,1,22,219.364,166.61,PuReST,1
22,1,21,213.282,166.375,PuReST,1
23,1,20,213.451,166.432,PuReST,1
24,1,20,213.712,166.067,PuReST,1
25,1,20,213.477,165.82,PuReST,1
26,1,20,213.518,165.765,PuReST,1
27,1,20,213.401,165.852,PuReST,1
28,1,20,213.513,166.343,PuReST,1
29,1,92,212.169,166.589,PuReST,1
30,1,18,214.381,164.619,PuReST,1
31,1,20,213.613,166.188,PuReST,1
32,1,20,213.523,166.438,PuReST,1
33,1,20,213.422,166.669,PuReST,1
34,1,20,213.661,166.452,PuReST,1
35,1,20,213.3,166.732,PuReST,1
36,1,20,213.419,166.468,PuReST,1
37,1,20,213.388,166.6,PuReST,1
38,1,21,213.356,166.982,PuReST,1
39,1,21,213.265,166.931,PuReST,1
40,1,21,213.262,166.926,PuReST,1
41,1,21,213.235,166.777,PuReST,1
42,1,21,213.191,166.776,PuReST,1
43,1,22,213.213,166.603,PuReST,1
44,1,21,213.352,166.628,PuReST,1
45,1,21,213.165,166.599,PuReST,1
46,1,21,213.246,166.683,PuReST,1
47,1,21,213.35,166.634,PuReST,1
48,1,21,213.309,166.487,PuReST,1
49,1,21,213.347,166.599,PuReST,1
50,1,21,213.438,166.188,PuReST,1
51,1,21,213.492,166.134,PuReST,1
52,1,21,213.515,166.073,PuReST,1
53,1,20,213.245,165.612,PuReST,1
54,1,21,213.437,165.65,PuReST,1
55,1,21,213.368,165.686,PuReST,1
56,1,21,213.368,165.686,PuReST,1
57,1,21,213.368,165.686,PuReST,1
58,1,21,213.368,165.686,PuReST,1
59,1,21,213.519,165.734,PuReST,1
60,1,21,213.623,165.721,PuReST,1
61,1,21,213.623,165.721,PuReST,1
62,1,20,213.644,166.062,PuReST,1
63,1,20,213.754,165.836,PuReST,1
64,1,20,213.767,166.192,PuReST,1
65,1,20,213.76,165.965,PuReST,1
66,1,20,213.697,166.45,PuReST,1
67,1,20,213.724,166.521,PuReST,1
68,1,20,213.589,166.961,PuReST,1
