filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719918159032,PuReST,37,-1,-1,35,37,0.945946,188.122,87.3954,168.202,113.119,0.8,0.8
00001.jpg,1719918159065,PuReST,37,-1,-1,36,37,0.972973,188.123,87.3685,159.952,114.674,0.823529,0.823529
00002.jpg,1719918159098,PuReST,36,-1,-1,34,36,0.944444,187.233,88.0535,105.03,109.978,0.833333,0.833333
00003.jpg,1719918159131,PuReST,36,-1,-1,34,36,0.944444,187.233,88.0535,105.03,109.978,0.833333,0.833333
00004.jpg,1719918159164,PuReST,36,-1,-1,34,36,0.944444,187.233,88.0535,105.03,109.978,0.833333,0.833333
00005.jpg,1719918159197,PuReST,36,-1,-1,34,36,0.944444,187.233,88.0535,105.03,109.978,0.833333,0.833333
00006.jpg,1719918159230,PuReST,36,-1,-1,34,36,0.944444,187.233,88.0535,105.03,109.978,0.833333,0.833333
00007.jpg,1719918159263,PuReST,36,-1,-1,34,36,0.944444,187.233,88.0535,105.03,109.978,0.833333,0.833333
00008.jpg,1719918159296,PuReST,36,-1,-1,33,36,0.916667,187.263,88.3063,99.4323,108.436,0.939394,0.939394
00009.jpg,1719918159329,PuReST,36,-1,-1,35,36,0.972222,187.146,87.4499,104.262,111.532,0.833333,0.833333
00010.jpg,1719918159362,PuReST,36,-1,-1,35,36,0.972222,187.126,87.4913,103.879,111.532,0.833333,0.833333
00011.jpg,1719918159395,PuReST,35,-1,-1,30,35,0.857143,186.283,89.1408,117.79,102.253,0.852941,0.852941
00012.jpg,1719918159428,PuReST,36,-1,-1,35,36,0.972222,187.598,87.1768,87.2429,111.532,0.805556,0.805556
00013.jpg,1719918159461,PuReST,36,-1,-1,35,36,0.972222,187.056,86.7357,156.69,111.532,0.777778,0.777778
00014.jpg,1719918159494,PuReST,34,-1,-1,34,34,1,187.211,87.5097,156.221,106.814,0.833333,0.833333
00015.jpg,1719918159527,PuReST,35,-1,-1,34,35,0.971429,187.061,87.1726,156.201,108.391,0.805556,0.805556
00016.jpg,1719918159560,PuReST,35,-1,-1,34,35,0.971429,187.873,87.1983,54.9399,108.391,0.833333,0.833333
00017.jpg,1719918159593,PuReST,35,-1,-1,33,35,0.942857,187.473,86.8814,19.9558,106.837,0.828571,0.828571
00018.jpg,1719918159626,PuReST,34,-1,-1,33,34,0.970588,187.683,86.8159,31.5182,105.249,0.878788,0.878788
00019.jpg,1719918159659,PuReST,33,-1,-1,31,33,0.939394,186.518,87.9136,124.906,100.556,1,1
00020.jpg,1719918159692,PuReST,33,-1,-1,31,33,0.939394,186.593,87.8924,122.855,100.556,1,1
00021.jpg,1719918159725,PuReST,33,-1,-1,31,33,0.939394,186.593,87.8924,122.855,100.556,1,1
00022.jpg,1719918159758,PuReST,33,-1,-1,31,33,0.939394,186.412,88.1367,127.115,100.556,1,1
00023.jpg,1719918159791,PuReST,33,-1,-1,32,33,0.969697,186.984,87.4814,127.016,102.108,0.914286,0.914286
00024.jpg,1719918159824,PuReST,33,-1,-1,32,33,0.969697,186.78,87.6926,117.298,102.108,0.971429,0.971429
00025.jpg,1719918159857,PuReST,33,-1,-1,32,33,0.969697,186.78,87.6926,117.298,102.108,0.971429,0.971429
00026.jpg,1719918159890,PuReST,33,-1,-1,32,33,0.969697,186.78,87.6926,117.298,102.108,0.971429,0.971429
00027.jpg,1719918159923,PuReST,33,-1,-1,32,33,0.969697,186.814,87.6187,120.504,102.108,1,1
00028.jpg,1719918159956,PuReST,33,-1,-1,32,33,0.969697,186.814,87.6187,120.504,102.108,1,1
00029.jpg,1719918159989,PuReST,33,-1,-1,32,33,0.969697,187.006,87.5912,119.718,102.108,0.911765,0.911765
00030.jpg,1719918160022,PuReST,33,-1,-1,31,33,0.939394,186.663,88.0907,124.749,100.556,1,1
00031.jpg,1719918160055,PuReST,34,-1,-1,32,34,0.941176,187.05,87.3659,156.611,103.696,0.888889,0.888889
00032.jpg,1719918160088,PuReST,34,-1,-1,33,34,0.970588,187.448,87.1944,93.7458,105.249,0.885714,0.885714
00033.jpg,1719918160121,PuReST,34,-1,-1,33,34,0.970588,187.023,87.7303,131.456,105.249,0.939394,0.939394
00034.jpg,1719918160154,PuReST,35,-1,-1,33,35,0.942857,187.08,87.3062,148.309,106.837,0.852941,0.852941
00035.jpg,1719918160187,PuReST,34,-1,-1,32,34,0.941176,185.231,88.8036,82.1557,103.696,0.941176,0.941176
00036.jpg,1719918160220,PuReST,36,-1,-1,33,36,0.916667,183.98,87.8474,111.564,108.436,0.941176,0.941176
00037.jpg,1719918160253,PuReST,36,-1,-1,35,36,0.972222,181.827,87.3584,14.7128,111.532,0.805556,0.805556
00038.jpg,1719918160286,PuReST,36,-1,-1,35,36,0.972222,181.827,87.3584,14.7128,111.532,0.805556,0.805556
00039.jpg,1719918160319,PuReST,37,-1,-1,35,37,0.945946,181.8,87.3244,178.91,113.119,0.794118,0.794118
00040.jpg,1719918160352,PuReST,37,-1,-1,35,37,0.945946,181.728,87.3515,172.226,113.119,0.823529,0.823529
00041.jpg,1719918160385,PuReST,37,-1,-1,35,37,0.945946,182.008,87.6378,13.2589,113.119,0.8,0.8
00042.jpg,1719918160418,PuReST,37,-1,-1,35,37,0.945946,181.899,87.4864,9.69015,113.119,0.818182,0.818182
00043.jpg,1719918160451,PuReST,37,-1,-1,36,37,0.972973,178.937,88.3812,4.59411,114.674,0.833333,0.833333
00044.jpg,1719918160484,PuReST,36,-1,-1,34,36,0.944444,174.658,91.0962,23.1929,109.978,1,1
00045.jpg,1719918160517,PuReST,36,-1,-1,34,36,0.944444,174.558,91.1444,29.8661,109.978,1,1
00046.jpg,1719918160550,PuReST,36,-1,-1,34,36,0.944444,174.548,91.1902,37.2681,109.978,1,1
00047.jpg,1719918160583,PuReST,36,-1,-1,32,36,0.888889,171.663,92.7777,17.7187,106.907,1,1
00048.jpg,1719918160616,PuReST,35,-1,-1,33,35,0.942857,171.427,92.8651,18.9248,106.837,1,1
00049.jpg,1719918160649,PuReST,36,-1,-1,33,36,0.916667,171.442,92.8198,18.555,108.436,1,1
00050.jpg,1719918160682,PuReST,35,-1,-1,33,35,0.942857,171.348,92.8412,22.2561,106.837,1,1
00051.jpg,1719918160715,PuReST,35,-1,-1,33,35,0.942857,171.42,92.7939,25.8083,106.837,1,1
00052.jpg,1719918160748,PuReST,35,-1,-1,33,35,0.942857,171.305,92.5385,26.5894,106.837,0.971429,0.971429
00053.jpg,1719918160781,PuReST,35,-1,-1,33,35,0.942857,171.33,92.5,25.165,106.837,1,1
00054.jpg,1719918160814,PuReST,35,-1,-1,32,35,0.914286,171.254,92.6218,21.0953,105.296,1,1
00055.jpg,1719918160847,PuReST,35,-1,-1,32,35,0.914286,171.27,92.5808,21.3562,105.296,1,1
00056.jpg,1719918160880,PuReST,34,-1,-1,32,34,0.941176,171.267,92.3498,25.0638,103.696,1,1
