filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719917135715,PuReST,20,-1,-1,19,20,0.95,211.802,153.211,158.223,61.2711,1,1
00001.jpg,1719917135748,PuReST,20,-1,-1,19,20,0.95,211.926,153.273,173.913,61.2711,1,1
00002.jpg,1719917135781,PuReST,20,-1,-1,19,20,0.95,211.892,153.236,167.607,61.2711,1,1
00003.jpg,1719917135814,PuReST,20,-1,-1,19,20,0.95,212.047,153.266,152.492,61.2711,1,1
00004.jpg,1719917135847,PuReST,20,-1,-1,19,20,0.95,212.143,153.094,153.403,61.2711,1,1
00005.jpg,1719917135880,PuReST,20,-1,-1,20,20,1,212.507,154.065,157.624,62.8319,1,1
00006.jpg,1719917135913,PuReST,20,-1,-1,20,20,1,212.507,154.065,157.624,62.8319,1,1
00007.jpg,1719917135946,PuReST,21,-1,-1,20,21,0.952381,212.645,154.198,155.631,64.4122,1,1
00008.jpg,1719917135979,PuReST,21,-1,-1,20,21,0.952381,212.712,154.251,148.427,64.4122,1,1
00009.jpg,1719917136012,PuReST,21,-1,-1,20,21,0.952381,212.712,154.276,143.857,64.4122,1,1
00010.jpg,1719917136045,PuReST,21,-1,-1,20,21,0.952381,213.016,153.97,156.389,64.4122,1,1
00011.jpg,1719917136078,PuReST,21,-1,-1,20,21,0.952381,213.016,153.97,156.389,64.4122,1,1
00012.jpg,1719917136111,PuReST,21,-1,-1,20,21,0.952381,212.95,154.005,155.398,64.4122,1,1
00013.jpg,1719917136144,PuReST,22,-1,-1,20,22,0.909091,212.877,154.046,155.694,66.0108,1,1
00014.jpg,1719917136177,PuReST,22,-1,-1,20,22,0.909091,212.921,153.83,154.139,66.0108,1,1
00015.jpg,1719917136210,PuReST,22,-1,-1,20,22,0.909091,212.937,153.831,156.064,66.0108,1,1
00016.jpg,1719917136243,PuReST,22,-1,-1,20,22,0.909091,212.98,153.786,149.298,66.0108,1,1
00017.jpg,1719917136276,PuReST,21,-1,-1,20,21,0.952381,212.913,153.321,160.674,64.4122,1,1
00018.jpg,1719917136309,PuReST,21,-1,-1,20,21,0.952381,212.913,153.321,160.674,64.4122,1,1
00019.jpg,1719917136342,PuReST,21,-1,-1,20,21,0.952381,212.855,153.419,147.508,64.4122,1,1
00020.jpg,1719917136375,PuReST,21,-1,-1,20,21,0.952381,212.855,153.419,147.508,64.4122,1,1
00021.jpg,1719917136408,PuReST,22,-1,-1,20,22,0.909091,212.847,153.339,148.34,66.0108,1,1
00022.jpg,1719917136441,PuReST,21,-1,-1,20,21,0.952381,212.664,153.143,142.817,64.4122,1,1
00023.jpg,1719917136474,PuReST,21,-1,-1,20,21,0.952381,212.635,152.846,148.95,64.4122,1,1
00024.jpg,1719917136507,PuReST,20,-1,-1,20,20,1,212.304,152.948,156.835,62.8319,1,1
00025.jpg,1719917136540,PuReST,21,-1,-1,19,21,0.904762,212.042,152.64,167.507,62.8711,1,1
00026.jpg,1719917136573,PuReST,20,-1,-1,19,20,0.95,212.037,152.732,164.65,61.2711,1,1
00027.jpg,1719917136606,PuReST,20,-1,-1,19,20,0.95,211.91,152.861,177.179,61.2711,1,1
00028.jpg,1719917136639,PuReST,20,-1,-1,19,20,0.95,211.91,152.861,177.179,61.2711,1,1
00029.jpg,1719917136672,PuReST,20,-1,-1,19,20,0.95,212.058,152.822,159.383,61.2711,1,1
00030.jpg,1719917136705,PuReST,19,-1,-1,19,19,1,211.948,152.715,157.189,59.6903,1,1
00031.jpg,1719917136738,PuReST,20,-1,-1,19,20,0.95,211.945,152.669,169.473,61.2711,1,1
00032.jpg,1719917136771,PuReST,20,-1,-1,18,20,0.9,211.38,152.706,143.369,59.7316,1,1
00033.jpg,1719917136804,PuReST,20,-1,-1,19,20,0.95,211.449,152.673,140.045,61.2711,1,1
00034.jpg,1719917136837,PuReST,20,-1,-1,19,20,0.95,211.111,152.752,149.647,61.2711,1,1
00035.jpg,1719917136870,PuReST,20,-1,-1,19,20,0.95,211.118,152.801,154.358,61.2711,1,1
00036.jpg,1719917136903,PuReST,19,-1,-1,19,19,1,210.539,152.831,122.079,59.6903,1,1
00037.jpg,1719917136936,PuReST,20,-1,-1,19,20,0.95,210.434,152.694,132.356,61.2711,1,1
00038.jpg,1719917136969,PuReST,20,-1,-1,19,20,0.95,210.404,152.637,127.97,61.2711,1,1
00039.jpg,1719917137002,PuReST,20,-1,-1,19,20,0.95,210.321,152.553,128.584,61.2711,1,1
00040.jpg,1719917137035,PuReST,20,-1,-1,19,20,0.95,210.321,152.553,128.584,61.2711,1,1
00041.jpg,1719917137068,PuReST,20,-1,-1,19,20,0.95,210.368,152.461,137.988,61.2711,1,1
00042.jpg,1719917137101,PuReST,19,-1,-1,19,19,1,210.041,152.38,161.881,59.6903,1,1
