filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719918650436,PuReST,67,-1,-1,54,67,0.80597,221.086,127.5,117.385,190.615,0.742857,0.742857
00001.jpg,1719918650469,PuReST,65,-1,-1,27,65,0.415385,204.904,102.489,73.6839,150.744,0.694444,0.722222
00002.jpg,1719918650502,PuReST,64,-1,-1,59,64,0.921875,220.597,124.666,115.825,193.288,0.777778,0.777778
00003.jpg,1719918650535,PuReST,102,-1,-1,46,102,0.45098,202.931,116.616,137.631,240.875,0.777778,0.722222
00004.jpg,1719918650568,PuReST,83,-1,-1,64,83,0.771084,211.365,125.216,88.0507,231.872,0.882353,0.833333
00005.jpg,1719918650601,PuReST,66,-1,-1,59,66,0.893939,221.137,126.064,110.348,196.504,0.805556,0.805556
00006.jpg,1719918650634,PuReST,66,-1,-1,59,66,0.893939,221.137,126.064,110.348,196.504,0.805556,0.805556
00007.jpg,1719918650667,PuReST,66,-1,-1,59,66,0.893939,221.137,126.064,110.348,196.504,0.805556,0.805556
00008.jpg,1719918650700,PuReST,66,-1,-1,59,66,0.893939,221.137,126.064,110.348,196.504,0.805556,0.805556
00009.jpg,1719918650733,PuReST,84,-1,-1,71,84,0.845238,211.827,122.64,85.0057,243.902,0.805556,0.805556
00010.jpg,1719918650766,PuReST,86,-1,-1,76,86,0.883721,210.616,122.76,123.198,254.711,0.735294,0.676471
00011.jpg,1719918650799,PuReST,109,-1,-1,75,109,0.688073,222.058,129.416,108.928,291.499,0.861111,0.75
00012.jpg,1719918650832,PuReST,86,-1,-1,69,86,0.802326,208.184,125.731,129.748,244.206,0.75,0.722222
00013.jpg,1719918650865,PuReST,88,-1,-1,72,88,0.818182,208.395,124.314,138.667,251.956,0.694444,0.694444
00014.jpg,1719918650898,PuReST,71,-1,-1,66,71,0.929577,223.892,121.32,59.6971,215.271,0.8,0.8
00015.jpg,1719918650931,PuReST,101,-1,-1,74,101,0.732673,218.691,128.302,109.087,276.528,0.805556,0.805556
00016.jpg,1719918650964,PuReST,108,-1,-1,80,108,0.740741,211.199,120.029,154.068,296.95,0.676471,0.676471
00017.jpg,1719918650997,PuReST,62,-1,-1,54,62,0.870968,218.208,127.749,121.043,182.429,0.833333,0.833333
00018.jpg,1719918651030,PuReST,61,-1,-1,52,61,0.852459,217.14,128.361,127.386,177.782,0.885714,0.857143
00019.jpg,1719918651063,PuReST,60,-1,-1,50,60,0.833333,217.68,129.609,120.435,173.145,0.833333,0.833333
00020.jpg,1719918651096,PuReST,63,-1,-1,53,63,0.84127,216.976,127.093,138.156,182.551,0.888889,0.861111
00021.jpg,1719918651129,PuReST,100,-1,-1,78,100,0.78,219.495,125.676,100.52,280.671,0.722222,0.805556
00022.jpg,1719918651162,PuReST,96,-1,-1,69,96,0.71875,209.377,130.571,141.201,260.919,0.757576,0.735294
00023.jpg,1719918651195,PuReST,98,-1,-1,67,98,0.683673,209.419,129.94,138.194,261.474,0.771429,0.722222
00024.jpg,1719918651228,PuReST,67,-1,-1,62,67,0.925373,219.707,123.553,138.594,202.709,0.714286,0.714286
00025.jpg,1719918651261,PuReST,71,-1,-1,67,71,0.943662,221.049,120.235,168.899,216.815,0.694444,0.694444
00026.jpg,1719918651294,PuReST,83,-1,-1,56,83,0.674699,212.077,118.992,102.1,220.405,0.777778,0.805556
00027.jpg,1719918651327,PuReST,84,-1,-1,60,84,0.714286,211.41,119.307,97.1843,227.768,0.852941,0.852941
00028.jpg,1719918651360,PuReST,98,-1,-1,79,98,0.806122,211.257,123.089,149.506,278.832,0.694444,0.666667
00029.jpg,1719918651393,PuReST,65,-1,-1,61,65,0.938462,219.996,124.035,136.801,197.97,0.75,0.75
00030.jpg,1719918651426,PuReST,107,-1,-1,78,107,0.728972,222.703,125.804,102.496,292.385,0.666667,0.722222
00031.jpg,1719918651459,PuReST,63,-1,-1,54,63,0.857143,217.531,126.279,137.441,184.055,0.857143,0.857143
00032.jpg,1719918651492,PuReST,104,-1,-1,48,104,0.461538,201.501,115.869,136.124,246.933,0.777778,0.833333
00033.jpg,1719918651525,PuReST,133,-1,-1,100,133,0.75188,187.443,139.784,66.9279,367.833,0.666667,0.628571
00034.jpg,1719918651558,PuReST,62,-1,-1,52,62,0.83871,217.192,127.179,134.181,179.415,0.823529,0.823529
00035.jpg,1719918651591,PuReST,61,-1,-1,54,61,0.885246,218.246,126.937,126.054,180.809,0.828571,0.823529
00036.jpg,1719918651624,PuReST,67,-1,-1,64,67,0.955224,221.903,122.953,107.253,205.801,0.75,0.722222
00037.jpg,1719918651657,PuReST,63,-1,-1,58,63,0.920635,219.417,125.213,121.602,190.147,0.771429,0.771429
00038.jpg,1719918651690,PuReST,67,-1,-1,63,67,0.940299,222.1,123.89,102.938,204.252,0.742857,0.75
00039.jpg,1719918651723,PuReST,105,-1,-1,57,105,0.542857,203.997,112.599,136.789,260.085,0.685714,0.735294
00040.jpg,1719918651756,PuReST,81,-1,-1,65,81,0.802469,207.001,125.681,123.534,230.025,0.828571,0.828571
