Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,56,128.776,131.756,PuReST,1
1,1,56,128.914,132.79,PuReST,1
2,1,56,128.949,132.715,PuReST,1
3,1,56,129.007,132.648,PuReST,1
4,1,56,129.028,132.487,PuReST,1
5,1,56,128.953,132.641,PuReST,1
6,1,57,128.989,132.59,PuReST,1
7,1,56,129.035,132.29,PuReST,1
8,1,56,128.949,132.787,PuReST,1
9,1,56,128.796,132.825,PuReST,1
10,1,57,128.651,132.538,PuReST,1
11,1,57,128.558,132.517,PuReST,1
12,1,57,128.655,132.22,PuReST,1
13,1,55,129.66,131.793,PuReST,1
14,1,56,129.234,133.011,PuReST,1
15,1,56,129.34,133.183,PuReST,1
16,1,56,129.671,133.202,PuReST,1
17,1,56,129.686,132.991,PuReST,1
18,1,56,129.975,133.633,PuReST,1
19,1,56,130.087,133.722,PuReST,1
20,1,56,130.105,133.799,PuReST,1
21,1,56,130.067,133.768,PuReST,1
22,1,56,130.058,133.78,PuReST,1
23,1,56,130.652,134.36,PuReST,1
24,1,56,130.745,134.316,PuReST,1
25,1,56,130.523,135.049,PuReST,1
26,1,56,130.249,135.671,PuReST,1
27,1,56,130.326,135.658,PuReST,1
28,1,56,130.203,135.759,PuReST,1
29,1,56,130.191,135.812,PuReST,1
30,1,56,130.191,135.991,PuReST,1
31,1,56,130.161,136.014,PuReST,1
32,1,56,130.108,136.08,PuReST,1
33,1,56,130.136,135.869,PuReST,1
34,1,56,130.3,135.81,PuReST,1
35,1,56,130.393,135.16,PuReST,1
36,1,56,130.417,135.142,PuReST,1
37,1,56,130.533,135.094,PuReST,1
38,1,56,130.541,134.873,PuReST,1
39,1,56,130.471,134.867,PuReST,1
40,1,56,130.391,134.886,PuReST,1
41,1,56,130.281,134.883,PuReST,1
42,1,56,130.173,134.858,PuReST,1
43,1,56,129.773,134.305,PuReST,1
44,1,56,129.713,133.97,PuReST,1
45,1,56,130.313,133.978,PuReST,1
46,1,56,130.855,132.972,PuReST,1
47,1,56,130.868,132.953,PuReST,1
48,1,56,131.375,132.45,PuReST,1
49,1,56,131.764,131.201,PuReST,1
50,1,56,131.305,131.573,PuReST,1
51,1,56,131.661,130.441,PuReST,1
52,1,55,132.047,130.021,PuReST,1
53,1,56,132.035,130.419,PuReST,1
54,1,56,132.617,129.777,PuReST,1
55,1,55,132.767,129.603,PuReST,1
56,1,56,132.697,129.685,PuReST,1
57,1,56,132.99,129.977,PuReST,1
58,1,55,132.537,129.754,PuReST,1
59,1,55,132.26,130.037,PuReST,1
60,1,56,132.177,129.947,PuReST,1
61,1,55,131.871,130.369,PuReST,1
62,1,55,131.786,129.996,PuReST,1
63,1,55,131.785,130.022,PuReST,1
64,1,55,131.811,130.031,PuReST,1
65,1,55,131.715,130.135,PuReST,1
66,1,55,131.782,130.076,PuReST,1
67,1,55,131.798,131.349,PuReST,1
68,1,55,132.107,133.969,PuReST,1
69,1,55,132.238,133.709,PuReST,1
70,1,55,132.32,133.809,PuReST,1
71,1,56,133.105,133.428,PuReST,1
72,1,56,132.84,133.134,PuReST,1
73,1,56,132.797,133.197,PuReST,1
74,1,55,132.711,133.003,PuReST,1
75,1,56,132.692,132.557,PuReST,1
76,1,55,132.631,132.519,PuReST,1
77,1,55,132.146,132.489,PuReST,1
78,1,55,131.992,132.469,PuReST,1
79,1,56,130.988,132.304,PuReST,1
80,1,56,130.91,132.331,PuReST,1
81,1,55,130.765,132.46,PuReST,1
82,1,56,130.719,132.498,PuReST,1
83,1,55,130.729,132.463,PuReST,1
84,1,55,130.624,132.207,PuReST,1
85,1,55,130.641,132.281,PuReST,1
86,1,56,130.966,131.66,PuReST,1
87,1,56,131.279,131.735,PuReST,1
88,1,56,131.434,131.764,PuReST,1
89,1,55,131.467,132.407,PuReST,1
90,1,55,131.419,133.036,PuReST,1
91,1,55,131.451,133.153,PuReST,1
92,1,55,131.454,133.299,PuReST,1
93,1,56,131.156,133.461,PuReST,1
94,1,56,129.412,137.262,PuReST,0.972222
95,1,56,129.476,137.516,PuReST,0.972222
96,1,55,128.152,146.764,PuReST,0.944444
97,1,56,131.114,149.307,PuReST,0.972222
98,1,55,131.88,148.869,PuReST,0.942857
99,1,55,132.511,148.153,PuReST,0.971429
100,1,55,132.066,148.713,PuReST,0.971429
101,1,55,131.912,148.23,PuReST,0.969697
102,1,55,131.846,147.871,PuReST,0.972222
103,1,56,131.624,147.897,PuReST,0.972222
104,1,56,131.675,147.984,PuReST,0.972222
105,1,57,131.283,148.216,PuReST,0.972222
106,1,55,131.089,148.325,PuReST,0.972222
107,1,57,131.168,148.706,PuReST,0.944444
108,1,56,130.569,148.623,PuReST,0.972222
109,1,57,129.114,149.024,PuReST,1
110,1,56,129.937,148.769,PuReST,0.972222
111,1,56,130.194,149.006,PuReST,1
112,1,56,130.187,148.976,PuReST,1
113,1,56,130.087,149.03,PuReST,1
114,1,58,129.119,150.874,PuReST,0.972222
115,1,56,129.895,148.675,PuReST,1
116,1,56,129.611,148.962,PuReST,0.942857
117,1,56,129.673,149.124,PuReST,0.972222
118,1,56,129.542,149.025,PuReST,0.944444
119,1,56,129.538,149.126,PuReST,0.972222
120,1,56,129.367,148.88,PuReST,0.944444
121,1,56,129.376,148.615,PuReST,0.972222
122,1,56,129.179,148.367,PuReST,1
123,1,56,134.558,144.042,PuReST,0.969697
124,1,55,135.001,143.997,PuReST,0.969697
125,1,54,135.089,143.897,PuReST,0.916667
126,1,53,132.374,143.024,PuReST,0.942857
127,1,56,134.885,144.548,PuReST,0.944444
128,1,56,134.708,144.3,PuReST,0.942857
129,1,55,134.347,142.876,PuReST,0.941176
130,1,59,133.708,147.24,PuReST,0.970588
131,1,55,134.234,144.122,PuReST,0.944444
132,1,55,134.472,143.95,PuReST,0.941176
133,1,55,134.442,143.768,PuReST,0.969697
134,1,55,134.41,144.092,PuReST,0.970588
135,1,55,134.382,144.065,PuReST,0.969697
136,1,57,132.321,141.527,PuReST,0.942857
137,1,59,134.319,143.164,PuReST,0.971429
138,1,57,134.442,143.456,PuReST,0.942857
139,1,57,134.536,143.477,PuReST,0.970588
140,1,59,134.54,142.827,PuReST,0.942857
141,1,58,134.501,142.876,PuReST,0.941176
142,1,59,134.476,142.577,PuReST,0.944444
143,1,53,128.422,139.437,PuReST,0.823529
144,1,58,132.936,143.139,PuReST,0.971429
145,1,57,132.626,142.52,PuReST,0.939394
146,1,56,134.362,143.189,PuReST,0.939394
147,1,55,130.709,140.951,PuReST,0.823529
148,1,61,137.679,144.11,PuReST,0.942857
149,1,58,134.385,142.689,PuReST,0.941176
150,1,58,134.241,142.533,PuReST,0.942857
151,1,58,134.396,143.017,PuReST,0.942857
152,1,58,134.248,143.092,PuReST,0.911765
153,1,56,134.218,143.406,PuReST,0.941176
154,1,58,131.66,143.475,PuReST,0.972222
155,1,57,133.951,143.107,PuReST,0.939394
156,1,56,133.706,142.938,PuReST,0.971429
157,1,57,133.719,142.744,PuReST,0.939394
158,1,58,131.353,144.07,PuReST,1
159,1,57,134.089,142.716,PuReST,0.914286
160,1,56,135.1,141.377,PuReST,0.942857
161,1,59,132.284,142.739,PuReST,0.971429
162,1,56,134.553,142.577,PuReST,0.941176
163,1,54,136.958,143.558,PuReST,0.916667
164,1,57,134.531,142.636,PuReST,0.944444
165,1,58,133.095,142.331,PuReST,0.944444
166,1,58,133.199,142.371,PuReST,0.96875
167,1,58,133.666,142.2,PuReST,0.969697
168,1,58,134.822,141.343,PuReST,0.941176
169,1,58,132.002,141.892,PuReST,0.944444
