Frame,Valid,diameter_px,CenterX,CenterY,AlgorithmName,confidence
0,1,92,189.629,157.051,PuReST,1
1,1,93,189.518,155.665,PuReST,1
2,1,94,189.306,155.969,PuReST,1
3,1,93,189.372,156.618,PuReST,0.970588
4,1,96,186.258,160.416,PuReST,0.970588
5,1,94,189.175,156.472,PuReST,1
6,1,94,189.859,156.539,PuReST,0.971429
7,1,93,189.864,156.076,PuReST,0.971429
8,1,92,189.178,155.131,PuReST,1
9,1,93,189.295,155.025,PuReST,1
10,1,94,188.625,154.066,PuReST,1
11,1,92,189.381,157.956,PuReST,1
12,1,91,189.34,156.829,PuReST,1
13,1,91,189.714,156.749,PuReST,1
14,1,92,189.609,154.334,PuReST,1
15,1,92,189.035,154.306,PuReST,1
16,1,92,188.997,154.512,PuReST,1
17,1,93,187.334,152.847,PuReST,1
18,1,92,186.227,152.586,PuReST,1
19,1,93,186.113,151.436,PuReST,0.971429
20,1,93,186.579,150.804,PuReST,1
21,1,93,186.623,151.924,PuReST,1
22,1,93,186.774,152.967,PuReST,1
23,1,93,187.754,152.619,PuReST,1
24,1,93,188.105,151.203,PuReST,1
25,1,92,187.139,152.821,PuReST,1
26,1,94,187.207,152.087,PuReST,1
27,1,93,187.437,153.45,PuReST,1
28,1,92,189.136,153.278,PuReST,1
29,1,93,187.42,154.592,PuReST,1
30,1,93,187.182,155.444,PuReST,1
31,1,92,187.441,154.356,PuReST,0.971429
32,1,92,189.807,152.537,PuReST,1
33,1,92,187.631,154.071,PuReST,1
34,1,94,187.26,153.802,PuReST,1
35,1,93,187.523,153.764,PuReST,0.970588
36,1,92,187.856,153.541,PuReST,0.970588
37,1,94,187.26,153.802,PuReST,1
38,1,92,187.987,153.697,PuReST,1
39,1,92,188.05,153.745,PuReST,0.971429
40,1,92,188.058,153.661,PuReST,1
41,1,95,186.316,154.375,PuReST,1
42,1,92,188.119,153.393,PuReST,1
43,1,92,187.011,155.361,PuReST,0.970588
44,1,93,187.504,155.153,PuReST,1
45,1,92,188.588,153.347,PuReST,0.970588
46,1,92,187.999,155.689,PuReST,0.971429
47,1,93,189.062,154.427,PuReST,0.971429
48,1,93,189.376,153.809,PuReST,1
49,1,94,189.29,154.074,PuReST,1
50,1,93,189.895,154.645,PuReST,0.971429
