filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719921170869,PuReST,44,-1,-1,13,44,0.295455,276.726,173.365,87.1987,96.2833,0.121212,0.0909091
00001.jpg,1719921170902,PuReST,25,-1,-1,13,25,0.52,204.265,186.495,102.471,61.1878,0.352941,0.352941
00002.jpg,1719921170935,PuReST,34,-1,-1,25,34,0.735294,271.639,132.892,167.162,93.2169,0.151515,0.151515
00003.jpg,1719921170968,PuReST,42,-1,-1,20,42,0.47619,277.208,169.563,93.3422,100.479,0.235294,0.235294
00004.jpg,1719921171001,PuReST,61,-1,-1,28,61,0.459016,155.328,214.338,20.4828,144.648,0.323529,0.323529
00005.jpg,1719921171034,PuReST,61,-1,-1,28,61,0.459016,155.328,214.338,20.4828,144.648,0.323529,0.323529
00006.jpg,1719921171067,PuReST,36,-1,-1,31,36,0.861111,202.439,197.071,156.211,105.39,0.69697,0.969697
00007.jpg,1719921171100,PuReST,38,-1,-1,33,38,0.868421,201.961,196.925,134.784,111.665,0.941176,0.941176
00008.jpg,1719921171133,PuReST,38,-1,-1,33,38,0.868421,201.955,196.92,134.983,111.665,0.941176,0.941176
00009.jpg,1719921171166,PuReST,39,-1,-1,35,39,0.897436,201.317,197.233,121.034,116.324,0.857143,0.857143
00010.jpg,1719921171199,PuReST,40,-1,-1,34,40,0.85,201.496,196.993,121.207,116.43,0.888889,0.888889
00011.jpg,1719921171232,PuReST,39,-1,-1,33,39,0.846154,201.317,196.985,131.263,113.294,0.888889,0.888889
00012.jpg,1719921171265,PuReST,38,-1,-1,34,38,0.894737,200.771,197.416,125.911,113.185,0.852941,0.852941
00013.jpg,1719921171298,PuReST,38,-1,-1,33,38,0.868421,201.368,197.266,134.986,111.665,0.848485,0.848485
00014.jpg,1719921171331,PuReST,39,-1,-1,34,39,0.871795,201.45,197.27,128.074,114.803,0.914286,0.914286
00015.jpg,1719921171364,PuReST,39,-1,-1,33,39,0.846154,201.517,197.195,128.01,113.294,0.888889,0.888889
00016.jpg,1719921171397,PuReST,38,-1,-1,34,38,0.894737,201.013,197.255,133.499,113.185,0.911765,0.911765
00017.jpg,1719921171430,PuReST,38,-1,-1,34,38,0.894737,200.793,197.338,135.496,113.185,0.911765,0.911765
00018.jpg,1719921171463,PuReST,38,-1,-1,34,38,0.894737,201.059,197.26,132.413,113.185,0.914286,0.914286
00019.jpg,1719921171496,PuReST,38,-1,-1,34,38,0.894737,200.912,197.339,129.433,113.185,0.914286,0.914286
00020.jpg,1719921171529,PuReST,38,-1,-1,34,38,0.894737,200.942,197.218,134.746,113.185,0.911765,0.911765
00021.jpg,1719921171562,PuReST,39,-1,-1,33,39,0.846154,201.258,197.052,130.261,113.294,0.888889,0.888889
00022.jpg,1719921171595,PuReST,40,-1,-1,35,40,0.875,199.892,197.111,113.965,117.941,0.852941,0.852941
00023.jpg,1719921171628,PuReST,40,-1,-1,35,40,0.875,200.093,197.213,116.369,117.941,0.823529,0.823529
00024.jpg,1719921171661,PuReST,38,-1,-1,34,38,0.894737,200.9,197.632,117.099,113.185,0.914286,0.914286
00025.jpg,1719921171694,PuReST,38,-1,-1,34,38,0.894737,200.9,197.632,117.099,113.185,0.914286,0.914286
00026.jpg,1719921171727,PuReST,38,-1,-1,35,38,0.921053,200.384,197.504,107.666,114.717,0.857143,0.857143
00027.jpg,1719921171760,PuReST,35,-1,-1,32,35,0.914286,201.67,197.766,178.629,105.296,0.970588,0.970588
00028.jpg,1719921171793,PuReST,39,-1,-1,34,39,0.871795,199.996,197.64,111.954,114.803,0.852941,0.852941
00029.jpg,1719921171826,PuReST,39,-1,-1,34,39,0.871795,199.761,197.589,108.97,114.803,0.823529,0.823529
00030.jpg,1719921171859,PuReST,38,-1,-1,35,38,0.921053,200.084,197.518,122.968,114.717,0.852941,0.852941
00031.jpg,1719921171892,PuReST,37,-1,-1,34,37,0.918919,200.105,197.353,125.246,111.576,0.916667,0.916667
00032.jpg,1719921171925,PuReST,37,-1,-1,35,37,0.945946,200.058,197.348,127.191,113.119,0.885714,0.885714
00033.jpg,1719921171958,PuReST,37,-1,-1,35,37,0.945946,199.837,197.479,119.452,113.119,0.857143,0.857143
00034.jpg,1719921171991,PuReST,37,-1,-1,35,37,0.945946,199.726,197.454,116.031,113.119,0.885714,0.885714
00035.jpg,1719921172024,PuReST,37,-1,-1,34,37,0.918919,199.955,197.344,125.197,111.576,0.916667,0.916667
00036.jpg,1719921172057,PuReST,36,-1,-1,35,36,0.972222,199.82,197.499,132.114,111.532,0.941176,0.941176
00037.jpg,1719921172090,PuReST,36,-1,-1,35,36,0.972222,199.668,197.536,140.61,111.532,0.941176,0.941176
00038.jpg,1719921172123,PuReST,36,-1,-1,33,36,0.916667,200.368,197.64,169.299,108.436,0.939394,0.939394
00039.jpg,1719921172156,PuReST,36,-1,-1,35,36,0.972222,199.608,197.485,136.408,111.532,0.914286,0.914286
00040.jpg,1719921172189,PuReST,37,-1,-1,35,37,0.945946,198.998,197.24,125.803,113.119,0.888889,0.888889
00041.jpg,1719921172222,PuReST,37,-1,-1,35,37,0.945946,199.036,197.206,124.903,113.119,0.888889,0.888889
