filename,timestamp_ms,algorithm,diameter_px,undistortedDiameter_px,physicalDiameter_mm,width_px,height_px,axisRatio,center_x,center_y,angle_deg,circumference_px,confidence,outlineConfidence
00000.jpg,1719921416737,PuReST,14,-1,-1,6,14,0.428571,121.677,243.462,77.5521,32.6854,0,0
00001.jpg,1719921416770,PuReST,14,-1,-1,6,14,0.428571,121.677,243.462,77.5521,32.6854,0,0
00002.jpg,1719921416803,PuReST,15,-1,-1,7,15,0.466667,121.526,243.637,75.5433,35.7095,0.5,0.433333
00003.jpg,1719921416836,PuReST,18,-1,-1,4,18,0.222222,124.154,242.155,86.7564,38.1494,0,0
00004.jpg,1719921416869,PuReST,53,-1,-1,37,53,0.698113,101.99,174.655,158.261,142.491,0.0588235,0.0294118
00005.jpg,1719921416902,PuReST,42,-1,-1,16,42,0.380952,150.441,107.309,97.9577,95.7421,0.6,0.257143
00006.jpg,1719921416935,PuReST,26,-1,-1,7,26,0.269231,136.359,235.605,54.3182,56.2251,0.030303,0
00007.jpg,1719921416968,PuReST,42,-1,-1,16,42,0.380952,150.613,107.855,96.6629,95.7421,0.628571,0.257143
00008.jpg,1719921417001,PuReST,55,-1,-1,48,55,0.872727,119.775,218.331,105.078,161.979,0.194444,0.166667
00009.jpg,1719921417034,PuReST,31,-1,-1,8,31,0.258065,130.997,237.75,64.0027,66.7088,0.117647,0.0294118
00010.jpg,1719921417067,PuReST,31,-1,-1,8,31,0.258065,130.997,237.75,64.0027,66.7088,0.117647,0.0294118
00011.jpg,1719921417100,PuReST,31,-1,-1,8,31,0.258065,130.997,237.75,64.0027,66.7088,0.117647,0.0294118
00012.jpg,1719921417133,PuReST,34,-1,-1,19,34,0.558824,132.671,209.945,164.848,84.9278,0,0
00013.jpg,1719921417166,PuReST,18,-1,-1,7,18,0.388889,204.308,228.594,7.01271,41.1941,0.0625,0.03125
00014.jpg,1719921417199,PuReST,21,-1,-1,15,21,0.714286,141.664,97.2004,80.5013,56.9421,0.529412,0.411765
00015.jpg,1719921417232,PuReST,21,-1,-1,15,21,0.714286,141.664,97.2004,80.5013,56.9421,0.529412,0.411765
00016.jpg,1719921417265,PuReST,34,-1,-1,15,34,0.441176,242.252,225.033,93.8693,79.8899,0,0
00017.jpg,1719921417298,PuReST,50,-1,-1,22,50,0.44,226.339,227.389,87.8898,117.415,0.147059,0.0588235
00018.jpg,1719921417331,PuReST,40,-1,-1,20,40,0.5,237.498,221.904,112.008,96.8842,0.121212,0.0909091
00019.jpg,1719921417364,PuReST,21,-1,-1,8,21,0.380952,210.029,233.342,168.833,47.8711,0.0882353,0.0294118
00020.jpg,1719921417397,PuReST,27,-1,-1,11,27,0.407407,94.8483,196.409,121.795,62.3658,0.0588235,0.0294118
00021.jpg,1719921417430,PuReST,18,-1,-1,7,18,0.388889,230.906,239.315,72.929,41.1941,0.125,0
00022.jpg,1719921417463,PuReST,43,-1,-1,20,43,0.465116,236.875,234.819,106.668,102.286,0.0294118,0
00023.jpg,1719921417496,PuReST,21,-1,-1,5,21,0.238095,226.353,238.566,112.166,44.8034,0,0
00024.jpg,1719921417529,PuReST,29,-1,-1,13,29,0.448276,131.804,235.137,66.9032,68.3892,0.142857,0
00025.jpg,1719921417562,PuReST,73,-1,-1,27,73,0.369863,139.957,207.38,62.4968,165.502,0,0
00026.jpg,1719921417595,PuReST,40,-1,-1,14,40,0.35,202.328,163.623,47.6544,89.8124,0.235294,0.147059
00027.jpg,1719921417628,PuReST,23,-1,-1,9,23,0.391304,135.829,235.041,53.6242,52.7002,0.0909091,0.030303
00028.jpg,1719921417661,PuReST,20,-1,-1,7,20,0.35,230.056,210.491,92.7495,44.9062,0.0625,0
00029.jpg,1719921417694,PuReST,51,-1,-1,29,51,0.568627,167.072,94.7395,39.9345,128.051,0.5,0.416667
